group	journal	year	work_id	title	term_type	term	occurrences
Literary / critical	Novel	2022	https://openalex.org/W4284894719	A Library of One's Own	review_only	database	1
Literary / critical	Novel	2025	https://openalex.org/W7154450666	Victorians, Digitized	strong	digital humanities	7
Literary / critical	Novel	2025	https://openalex.org/W7154450666	Victorians, Digitized	review_only	digitization	2
Literary / critical	Novel	2025	https://openalex.org/W7154450666	Victorians, Digitized	review_only	digital archive	1
Literary / critical	New Literary History	2018	https://openalex.org/W2888169455	Cosmopolitan Curiosity in an Open City: Notes on Reading Teju Cole by way of Kwame Anthony Appiah	strong	digital humanities	1
Literary / critical	New Literary History	2017	https://openalex.org/W2762399625	Tragedy, for Example: Distant Reading and Exemplary Reading (Moretti)	strong	digital humanities	1
Literary / critical	New Literary History	2017	https://openalex.org/W2762399625	Tragedy, for Example: Distant Reading and Exemplary Reading (Moretti)	strong	distant reading	2
Literary / critical	New Literary History	2015	https://openalex.org/W2174414172	The Bechdel Test and the Social Form of Character Networks	strong	digital humanities	1
Literary / critical	New Literary History	2021	https://openalex.org/W3193705176	The Scale of Genre	strong	digital humanities	1
Literary / critical	New Literary History	2022	https://openalex.org/W4379410757	Doing (Computational) Literary Studies	strong	computational literary studies	1
Literary / critical	New Literary History	2017	https://openalex.org/W2786433726	Distributed Character: Quantitative Models of the English Stage, 1550–1900	strong	digital humanities	1
Literary / critical	New Literary History	2015	https://openalex.org/W2175952335	Statistical Analysis at the Birth of Close Reading	strong	digital humanities	1
Literary / critical	New Literary History	2015	https://openalex.org/W2175952335	Statistical Analysis at the Birth of Close Reading	strong	distant reading	2
Literary / critical	New Literary History	2022	https://openalex.org/W4379410729	Content's Forms	strong	computational literary criticism	1
Literary / critical	New Literary History	2022	https://openalex.org/W4379410729	Content's Forms	review_only	database	2
Literary / critical	New Literary History	2004	https://openalex.org/W1978879176	New Age Scholarship: The Work of Criticism in the Age of Digital Reproduction	review_only	digital archive	2
Literary / critical	New Literary History	2004	https://openalex.org/W1978879176	New Age Scholarship: The Work of Criticism in the Age of Digital Reproduction	review_only	database	1
Literary / critical	New Literary History	2013	https://openalex.org/W2051427077	How the French Read	strong	distant reading	1
Literary / critical	New Literary History	2022	https://openalex.org/W4379410711	A Queer Way of Counting: Bibliography and Computational Approaches to the Queer Novel	strong	text mining	1
Literary / critical	New Literary History	2022	https://openalex.org/W4379410765	Our Paratextual Presents, Our Computational Literary Futures	strong	computational literary studies	1
Literary / critical	New Literary History	2014	https://openalex.org/W4230663727	Introduction	strong	distant reading	1
