review_priority	group	journal	year	title	dh_terms	dh_term_occurrences	review_candidate_reason	duplicate_count	work_id	doi	type	has_abstract	manual_class	manual_note
ordinary_hit	Comparanda	Cultural Analytics	2021	On Organizing a Shared Task for the Digital Humanities – Conclusions and Future Paths	digital humanities	2		1	https://openalex.org/W4200162648	https://doi.org/10.22148/001c.30697	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2021	The Asian American Literature We’ve Constructed	text mining	1		1	https://openalex.org/W3153487356	https://doi.org/10.22148/001c.22330	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2021	The Generative Dissensus of Reading the Feminist Novel, 1995-2020: A Computational Analysis of Interpretive Communities	topic modeling	1		1	https://openalex.org/W3215541196	https://doi.org/10.22148/001c.30009	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2021	The Goodreads “Classics”: A Computational Study of Readers, Amazon, and Crowdsourced Amateur Criticism	topic modeling	1		1	https://openalex.org/W3153865529	https://doi.org/10.22148/001c.22221	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2022	Are Computational Literary Studies Structuralist?	digital humanities; computational literary studies	6		1	https://openalex.org/W4313363893	https://doi.org/10.22148/001c.46662	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2022	Biodiversity is not declining in fiction	cultural analytics	2		1	https://openalex.org/W4307445554	https://doi.org/10.22148/001c.38739	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2022	Conceptual Forays: A Corpus-based Study of “Theory” in Digital Humanities Journals	digital humanities	2		1	https://openalex.org/W4313363291	https://doi.org/10.22148/001c.55507	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2022	Cultures of E/valuation on the Social Web. A very short introduction to the special issue	digital humanities	1		1	https://openalex.org/W4214538649	https://doi.org/10.22148/001c.33086	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2022	Foreword to the Special Issue “Theorytellings: Epistemic Narratives in the Digital Humanities”	digital humanities	1		1	https://openalex.org/W4313316689	https://doi.org/10.22148/001c.55593	article	1		
ordinary_hit	Comparanda	Cultural Analytics	2022	From Concepts to Texts and Back: Operationalization as a Core Activity of Digital Humanities	digital humanities	3		1	https://openalex.org/W4313409859	https://doi.org/10.22148/001c.57195	article	1		
