work_key	title	author_name	first_publish_year	canonical	htid_count	pd_count	sample_htids	matched_title	matched_author	source
OL472043W	The mysterious Mr Quin	Agatha Christie	1930	0	1	1	inu.30000020640763	The mysterious Mr. Quin / Aghatha Christie.	Christie, Agatha, 1890-1976.	hathifiles_title
OL4917443W	Close Quarters	Michael Francis Gilbert	1947	0	1	0	inu.32000004611473	Close quarters / by Michael Gilbert.	Gilbert, Michael Francis, 1912-2006	hathifiles_title
OL1937666W	Hornblower And The Atropos	C. S. Forester	1920	0	1	0	inu.32000003239136	Hornblower and the Atropos / C. S. Forester.	Forester, C. S. 1899-1966.	hathifiles_title
OL21454633W	Letty Fox	Christina Stead	1946	0	2	0	inu.32000002540997|uc1.b4086521	Letty Fox : her luck / Christina Stead.	Stead, Christina, 1902-1983	hathifiles_title
OL3648110W	Letty Fox	Christina Stead	1947	0	2	0	inu.32000002540997|uc1.b4086521	Letty Fox : her luck / Christina Stead.	Stead, Christina, 1902-1983	hathifiles_title
OL1337078W	Heavy Weather	P. G. Wodehouse	1933	0	1	0	inu.30000035025372	Heavy weather.	Wodehouse, P. G. 1881-1975.	hathifiles_title
OL1337093W	Laughing gas	P. G. Wodehouse	1936	0	1	0	inu.32000007724323	Laughing gas.	Wodehouse, P. G. 1881-1975.	hathifiles_title
OL1337088W	The luck of the Bodkins	P. G. Wodehouse	1935	0	2	0	inu.32000002017020|uva.x001091393	The luck of the Bodkins.	Wodehouse, P. G. 1881-1975.	hathifiles_title
OL1337068W	Uncle Dynamite	P. G. Wodehouse	1948	0	1	0	inu.32000006736120	Uncle Dynamite : [a novel] / by P. G. Wodehouse.	Wodehouse, P. G. 1881-1975	hathifiles_title
OL25168041W	The Woodlanders	Hardy, Thomas	1912	0	8	7	uc2.ark:/13960/t1zc83g7g|inu.32000004672327|uc1.b4105194	The woodlanders; by Thomas Hardy.	Hardy, Thomas, 1840-1928.	hathifiles_title
OL137471W	And be a villain	Rex Stout	1948	0	2	0	uva.x000094847|inu.39000003658130	And be a villain; a Nero Wolfe novel.	Stout, Rex, 1886-1975.	hathifiles_title
OL15320517W	The Father Brown stories	Chesterton, G. K.	1931	0	1	0	inu.30000011897372	The Father Brown stories.	Chesterton, G. K. 1874-1936.	hathifiles_title
OL20433072W	The Paradoxes of Mr. Pond	Chesterton, G. K.	1936	0	1	0	inu.30000035044217	The paradoxes of Mr. Pond / by G. K. Chesterton.	Chesterton, G. K. 1874-1936	hathifiles_title
OL76469W	The scandal of Father Brown	Chesterton, G. K.	1935	0	1	0	inu.32000005550878	The scandal of Father Brown / by G.K. Chesterton.	Chesterton, G. K. 1874-1936.	hathifiles_title
OL9819733W	Collected stories of Katherine Mansfield	Mansfield, Katherine	1945	0	1	0	inu.32000002974469	Collected stories of Katherine Mansfield.	Mansfield, Katherine, 1888-1923.	hathifiles_title
OL32098814W	The blacksmith of Boniface Lane	A. L. O. E.	1895	0	1	1	inu.39000003450728	The blacksmith of Boniface Lane / by A. L. O. E. [i.e. C. M.	A. L. O. E., 1821-1893.	hathifiles_title
OL14877863W	Lord Arthur Savile's crime	Oscar Wilde	1891	0	7	7	inu.32000001376112|uc2.ark:/13960/t73t9g479|coo.31924014157089	Lord Arthur Savile's crime ; The portrait of Mr. W. H. ; and	Wilde, Oscar, 1854-1900.	hathifiles_title
OL43772525W	The happy prince	Oscar Wilde	1940	0	4	2	inu.32000002542050|inu.32000002542183|uiug.30112056541516	The happy prince; a fairy tale by Oscar Wilde.  With a forew	Wilde, Oscar, 1854-1900.	hathifiles_title
OL8269770W	The Happy Prince and other tales	Oscar Wilde	1888	0	6	5	inu.32000007917794|dul1.ark:/13960/t4tj33z0s|coo.31924013571330	The happy prince, and other tales / by Oscar Wilde ; illustr	Wilde, Oscar, 1854-1900.	hathifiles_title
