work_key	canonical	htid_count	pd_count	record_count	matched_oclc	oclc_tried	sample_htids
OL3750825W	0	1	1	1	4302173	1	uc2.ark:/13960/t6445jc0h
OL3750827W	0	4	4	1	1242791	1	hvd.hw21cb|mdp.39015006951043|uc2.ark:/13960/t5h98zt09
OL3750831W	0	2	2	1	1804776	4	nyp.33433076053572|uc2.ark:/13960/t2599zr8q
OL3751261W	0	4	0	1	1147204	10	mdp.39015020678796|mdp.39015005687093|mdp.39015005687101
OL3751275W	0	1	1	1	6282590	1	uc1.b3796913
OL37515483W	0	1	1	1	3313383	3	hvd.hnk1d7
OL37515531W	0	1	1	1	10832043	2	hvd.hn1ha5
OL3751862W	0	2	0	1	1462273	1	uc1.$b105412|mdp.39015018655434
OL37525W	0	2	2	1	29611408	2	uc2.ark:/13960/t05x25t64|uc1.$b300877
OL3752946W	0	1	0	1	220722	3	mdp.39076002656705
OL3753287W	0	1	0	1	26807237	4	mdp.39015034869019
OL37538824W	0	2	2	1	15262114	3	hvd.hc1hfs|wu.89098851280
OL37558W	0	3	3	1	10355688	3	bc.ark:/13960/t5z611f8d|uc2.ark:/13960/t0vq2tr9p|uc1.$b756231
OL3761583W	0	1	0	1	5954556	1	wu.89099916918
OL376839W	0	0	0	0		1	
OL3769387W	0	1	0	1	2027377	1	mdp.39015046369636
OL3773151W	0	2	0	1	905534	1	txu.059173006700393|uc1.$b781507
OL3773681W	0	1	1	1	3139997	1	nyp.33433081764130
OL3774994W	0	1	0	1	611584	1	uc1.b4218451
OL3778150W	0	1	1	1	1018305	1	uc1.$b57139
OL3778552W	0	1	0	1	1446513	1	wu.89100340215
OL3778557W	0	2	1	1	1819867	1	uc1.$b56966|mdp.39015063939196
OL3778559W	0	1	1	1	3762833	1	uc1.$b301180
OL37787956W	0	0	0	0		2	
OL37799152W	0	0	0	0		1	
OL3782627W	0	0	0	0		1	
OL3783260W	0	2	2	1	3602539	1	hvd.hwrfbw|nyp.33433076050503
OL3783261W	0	1	1	1	363252	1	nyp.33433076050495
OL3783264W	0	1	1	1	6983921	1	hvd.hn1ghm
OL3783265W	0	1	1	1	1972290	1	uva.x030826105
OL3783273W	0	0	0	0		1	
OL3783287W	0	1	1	1	6939433	1	hvd.hw3b1i
OL3783288W	0	1	1	1	7581019	2	nyp.33433076050339
OL3783293W	0	4	4	1	1828707	1	uc2.ark:/13960/t90864q9q|hvd.hn8n9e|mdp.39015063946746
OL3784461W	0	0	0	0		1	
OL3786253W	0	1	0	1	1686639	1	uc1.$b799200
OL3786259W	0	1	0	1	2236286	2	uc1.$b300198
OL3786265W	0	0	0	0		4	
OL3787229W	0	0	0	0		4	
OL3789831W	0	1	0	1	2340330	3	osu.32435018000315
OL37923438W	0	1	1	1	21142645	1	hvd.hn5pfy
OL37979386W	0	0	0	0		2	
OL37989649W	0	1	1	1	1171739	2	hvd.hn1lm6
OL37990571W	0	1	1	1	1985368	1	mdp.39076002271869
OL3799316W	0	2	0	1	5301907	1	uc1.$b77109|txu.059173023930040
OL3799841W	0	4	4	1	2864035	3	hvd.hn1qq9|coo1.ark:/13960/t8jd5f443|nyp.33433074946835
OL3799843W	0	1	1	1	8996511	2	nyp.33433074946843
OL37998858W	0	2	2	1	62432121	1	uc2.ark:/13960/t7gq6t31b|umn.319510008954761
OL3800046W	0	1	0	1	4421278	1	mdp.39015037283291
OL3800053W	0	2	0	1	1345305	1	mdp.39015038117985|uc1.$b605059
OL3800997W	0	2	0	1	13615324	3	mdp.49015001217208|inu.30000011370792
OL3801001W	0	1	0	1	15805905	10	inu.32000001352097
OL3801007W	0	3	3	1	10593096	10	uc1.l0072874282|hvd.32044009827247|uc1.31158009849315
OL380242W	0	2	2	1	1724323	2	uc2.ark:/13960/t0sq8rs70|nnc1.cu58309926
OL3802679W	0	1	0	1	1143996	4	uc1.32106005359044
OL3802681W	0	1	0	1	13159497	7	uc1.32106014202573
OL3803596W	0	1	1	1	1561973	4	uc1.$b606726
OL3806143W	0	1	0	1	5326683	1	uc1.31822010874279
OL3806147W	0	4	0	1	787276	2	uc1.$b113251|uc1.$b663107|mdp.39015058593511
OL3806150W	0	1	0	1	1827910	3	uc1.b3466715
OL38072123W	0	1	1	1	4930123	1	coo1.ark:/13960/t05x2w88m
OL38078190W	0	1	1	1	685513	1	uva.x000470904
OL38078282W	0	0	0	0		1	
OL38085291W	0	1	1	1	36381290	4	hvd.32044004524864
OL3810406W	0	2	0	1	1621566	5	wu.89095832283|mdp.39015030659232
OL3812734W	0	2	2	1	2052541	1	mdp.39015058551337|hvd.32044088801451
OL3815314W	0	0	0	0		2	
OL381550W	0	0	0	0		10	
OL3820784W	0	1	0	1	3680875	2	uc1.$b56211
OL3825313W	0	0	0	0		1	
OL3827328W	0	1	0	1	11317512	3	mdp.39015056248100
OL3827330W	0	1	0	1	20865833	9	mdp.39076001771067
OL3827332W	0	1	0	1	48467053	9	mdp.39015055602919
OL3827334W	0	0	0	0		4	
OL3830997W	0	0	0	0		1	
OL3837703W	0	0	0	0		1	
OL3837705W	0	0	0	0		3	
OL3837706W	0	0	0	0		2	
OL3837708W	0	1	0	1	1387806	4	mdp.39015050923120
OL3837709W	0	0	0	0		2	
OL3837713W	0	0	0	0		2	
OL3837714W	0	0	0	0		2	
OL3837718W	0	0	0	0		2	
OL3837720W	0	0	0	0		1	
OL3837725W	0	0	0	0		3	
OL3837726W	0	0	0	0		2	
OL3837728W	0	1	1	1	1517839	2	mdp.39015059788557
OL3837731W	0	0	0	0		1	
OL3837733W	0	1	0	1	9162035	4	hvd.hn5rk5
OL3837737W	0	1	0	1	1471096	4	umn.319510021585828
OL3837738W	0	0	0	0		5	
OL3837739W	0	1	0	1	1102618	2	mdp.39015059788771
OL3837740W	0	0	0	0		1	
OL3837741W	0	0	0	0		4	
OL3837742W	0	1	0	1	1592203	1	mdp.39015020215755
OL3839478W	0	2	2	1	2410630	3	uc1.$b794738|njp.32101068598174
OL3839480W	0	1	1	1	1067454	2	mdp.39015030738127
OL3839481W	0	1	0	1	1029967121	6	mdp.39015066055339
OL3839483W	0	2	0	1	3263670	3	uc1.b4683148|umn.31951001206673a
OL3839484W	0	1	1	1	25430033	3	inu.32000002859975
OL3839485W	0	1	0	1	363204	3	uc1.b4095553
