openlibrary_work_key	selection_title	selection_author	search_author_variant	ia_identifier	ia_title	ia_creator	ia_date	ia_year	ia_mediatype	ia_language	ia_publisher	ia_subject	ia_description	ia_collection	review_label	review_note
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_w2f6	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng				['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-CRU-072	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng				['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-CCF-620	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_l3i0	The great gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts					['internetarchivebooks']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_h6l7	the great gatsby	f. scott fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	charles scribner's sons			['internetarchivebooks', 'fav-chapalan']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_k8x8	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	the-great-gatsby-fitz	The Great Gatsby	F. Scott Fitzgerald (1896 – 1940)	1925-01-01T00:00:00Z	1925.0	texts	eng	Planet eBook	['American novel', 'fiction', 'F. Scott Fitzgerald', 'Jay Gatsby', 'West Egg', 'East Egg', 'Daisy Buchanan', 'Tom Buchanan', 'Jordan Baker', 'Nick Carraway', 'American dream', 'Class permanence']	"The Great Gatsby is a 1925 novel by American writer F. Scott Fitzgerald. Set in the Jazz Age on Long Island, the novel depicts narrator Nick Carraway's interactions with mysterious millionaire Jay Gatsby and Gatsby's obsession to reunite with his former lover, Daisy Buchanan. The novel was inspired by a youthful romance Fitzgerald had with a socialite, and by parties he attended on Long Island's North Shore in 1922. Opening lines: ""In my younger and more vulnerable years my father gave me some advice that I’ve been turning over in my mind ever since. ‘Whenever you feel like criticizing any one,’ he told me, ‘just remember that all the people in this world haven’t had the advantages that you’ve had.’"""	['opensource', 'community', 'fav-fur2715', 'fav-haight1968', 'fav-ivanise330', 'fav-jahanzeb_shah', 'fav-pat_raman', 'fav-quinn_blosser', 'fav-twinkylacomadreja']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_o1j3	the great gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks', 'fav-crooner156', 'fav-grace605', 'fav-hector_antonio_garcia_mendoza']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_Y0-CBV-081	The great gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts		Chump Change			['internetarchivebooks', 'fav-chapalan', 'fav-jahanzeb_shah', 'fav-jrzyboy', 'fav-peter_jackson804', 'fav-ramap']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_T5-ARD-676	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng	Charles Scribner's Sons			['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	isbn_9780812415773	The Great Gatsby	F. Scott Fitzgerald	1992-01-01T00:00:00Z	1992.0	texts	eng	Perfection Learning Prebound			['internetarchivebooks', 'inlibrary', 'printdisabled', 'fav-ayat_hamdi', 'fav-deana_davis', 'fav-kelly758', 'fav-kiwwi_', 'fav-vitorneiva', 'fav-wanroyo']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_KV-335-249	the great gatsby	F. Scott Fitzgerald	1958-01-01T00:00:00Z	1958.0	texts					['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_n2y0	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng	Charles Scribners Sons			['internetarchivebooks', 'fav-boingercat', 'fav-bulentkale']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_n7n4	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts		Charles Scribner's Sons			['internetarchivebooks', 'fav-chandana_kumar877']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000unse_p9z0	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng				['internetarchivebooks', 'fav-emowhofromwhoville']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_d8v1	THE GREAT GATSBY	F. SCOTT FITZGERALD	1925-01-01T00:00:00Z	1925.0	texts	eng				['internetarchivebooks', 'fav-hadleyonfire']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-BHE-912	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng				['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-BTW-955	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts					['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_C0-ADW-344	The Great Gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng				['internetarchivebooks']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	the-great-gatsby-text_202101	The Great Gatsby (text) F. Scott Fitzgerald	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts	eng		The Great Gatsby (text) F. Scott Fitzgerald	"The Great Gatsby (text) F. Scott Fitzgerald F. Scott Fitzgerald Fitzgerald in 1921 Born Francis Scott Key Fitzgerald September 24, 1896 Saint Paul, Minnesota , U.S. Died December 21, 1940 (aged 44) Hollywood , California , U.S. Resting place Saint Mary's Cemetery Rockville, Maryland , U.S. Years active 1920–1940 Spouse Zelda Sayre ​ ( m.  1920)​ Children Frances Scott Fitzgerald Signature Francis Scott Key Fitzgerald (September 24, 1896 – December 21, 1940) was an American novelist , essayist , screenwriter , and short-story writer. He was best known for his novels depicting the flamboyance and excess of the Jazz Age —a term which he popularized . During his lifetime, he published four novels, four collections of short stories, and 164 short stories. Although he temporarily achieved popular success and fortune in the 1920s, Fitzgerald only received wide critical and popular acclaim after his death. He is widely regarded as one of the greatest American writers of the 20th century. Fitzgerald was born into an upper-middle-class family in St. Paul, Minnesota , but was primarily raised in New York . He attended Princeton University , but due to a failed relationship and a preoccupation with writing, he dropped out in 1917 to join the Army . While stationed in Alabama , he fell in love with rich socialite Zelda Sayre . Although she initially rejected him due to his financial situation, Zelda agreed to marry Fitzgerald after he had published the commercially successful This Side of Paradise (1920). In the 1920s, Fitzgerald frequented Europe, where he was influenced by the modernist writers and artists of the "" Lost Generation "" expatriate community, particularly Ernest Hemingway . His second novel, The Beautiful and Damned (1922), propelled him into the New York City elite. To maintain his lifestyle during this time, he also wrote several stories for magazines. His third novel, The Great Gatsby (1925), was inspired by his rise to fame and relationship with Zelda. Although it received mixed reviews, The Great Gatsby is now widely praised, with some even labeling it the "" Great American Novel "". While Zelda was placed at a mental institute for her schizophrenia , Fitzgerald completed his final novel, Tender Is the Night (1934). Faced with financial difficulties due to the declining popularity of his works, Fitzgerald turned to Hollywood , writing and revising screenplays. After a long struggle with alcoholism, he died in 1940, at the age of 44. A fifth, unfinished novel, The Last Tycoon (1941), was completed by Edmund Wilson and published after Fitzgerald's death."	['folkscanomy_fiction', 'folkscanomy', 'fav-marccic', 'fav-sugar_puss']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_g4h8	The great gatsby	F. Scott Fitzgerald	1925-01-01T00:00:00Z	1925.0	texts		Charles Scribner's Sons			['internetarchivebooks']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_y9c7	THE GREAT GATSBY	F. SCOTT FITZGERALD	1925-01-01T00:00:00Z	1925.0	texts					['internetarchivebooks', 'fav-supermega12']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	greatgatsby0000fsco_k6c6	the great gatsby	f. scott fitzgerald	1974-01-01T00:00:00Z	1974.0	texts	eng	charles scribner's sons			['internetarchivebooks', 'inlibrary', 'printdisabled', 'fav-ayat_hamdi', 'fav-bookhunter222', 'fav-wanroyo']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_Y0-BWY-136	The Great Gatsby	F. Scott Fitzgerald	2000-01-01T00:00:00Z	2000.0	texts	eng	Penguin Group			['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_Y0-BOR-744	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts	eng	Charles Scribners Sons			['internetarchivebooks', 'printdisabled', 'inlibrary']		
/works/OL35353208W	The Great Gatsby	F Scott Fitzgerald	F Scott Fitzgerald	bwb_S0-AXA-179	The Great Gatsby	F. Scott Fitzgerald	1953-01-01T00:00:00Z	1953.0	texts		Charles Scribner's Sons			['internetarchivebooks', 'fav-chapalan', 'fav-jahanzeb_shah']		
