work_id	htid_count	oclc_variants	title_htrc	date_htrc	prob80_max	englishpct_max	htids	wk_norm	match_method	match_score
OL107891W	8	2	Marcella	1894	0.9	1.0	mdp.39015010949793|mdp.39015027815441|nyp.33433075764104|nyp.33433075764112|uc2.ark+=13960=t6nz84g5c|uiuo.ark+=13960=t7np2qv1n|uiuo.ark+=13960=t9s18n69p|uc2.ark+=13960=t0dv1rs5b	/works/OL107891W	oclc	
OL108456W	2	1	Scaramouche;	1921	0.87	1.0	uc1.b4090081|uc2.ark+=13960=t6n012w63	/works/OL108456W	oclc	
OL1084971W	1	1	Captain Mansana & Mothers hands	1897	0.88	1.0	uc2.ark+=13960=t1rf5nq8d	/works/OL1084971W	oclc	
OL1084976W	1	1	Mary	1909	0.89	1.0	nyp.33433075849954	/works/OL1084976W	oclc	
OL1084997W	4	3	A happy boy	1882	0.89	1.0	uc2.ark+=13960=t73t9h397|umn.31951d01315984z|uc1.b4740529|uc2.ark+=13960=t8v981c83	/works/OL1084997W	oclc	
OL1085021W	2	1	Pierre & Joseph	1920	0.79	1.0	nyp.33433075806731|uc2.ark+=13960=t4cn71p8r	/works/OL1085021W	oclc	
OL1085067W	2	1	The marriage of Mademoiselle Gimel	1913	0.88	1.0	nyp.33433075806715|uc2.ark+=13960=t1qf8mh46	/works/OL1085067W	oclc	
OL1085104W	1	1	Cousin Cinderella	1908	0.89	0.999	nyp.33433074944434	/works/OL1085104W	oclc	
OL1085106W	2	1	The simple adventures of a memsahib	1893	0.89	1.0	mdp.39015012319177|wu.89098861651	/works/OL1085106W	oclc	
OL1085108W	1	1	The imperialist	1904	0.83	1.0	nyp.33433074944376	/works/OL1085108W	oclc	
OL1085111W	4	1	An American girl in London	1891	0.89	1.0	mdp.39015063546942|nyp.33433074944442|uc1.b248494|uc2.ark+=13960=t6348k996	/works/OL1085111W	oclc	
OL1085112W	6	1	A social departure	1890	0.72	1.0	nc01.ark+=13960=t36117g68|nc01.ark+=13960=t78s4s51w|nyp.33433000631980|uc1.b3321293|uc2.ark+=13960=t7rn37p9f|wu.89098879166	/works/OL1085112W	oclc	
OL1087215W	3	1	The story of Alexander	1894	0.78	1.0	mdp.39015029768572|njp.32101063578189|wu.89051206076	/works/OL1087215W	oclc	
OL108735W	1	1	The tale of Peter Rabbit	1904	0.56	0.983	mdp.39015083455223	/works/OL108735W	oclc	
OL108764W	1	1	The tale of Johnny Town-mouse	1918	0.54	0.975	mdp.39015089581832	/works/OL108764W	oclc	
OL108852W	1	1	Stories of Robin Hood & his merry outlaws	1904	0.87	1.0	uc2.ark+=13960=t77s7n59x	/works/OL108852W	oclc	
OL1088653W	3	1	The career of a nihilist	1889	0.83	1.0	mdp.39015031002739|mdp.39015066228951|uc1.32106008609544	/works/OL1088653W	oclc	
OL1088770W	2	2	The blue fairy book	1889	0.88	1.0	uc2.ark+=13960=t0wp9v52q|nc01.ark+=13960=t9281fb0w	/works/OL1088770W	oclc	
OL1088786W	3	1	The disentanglers	1902	0.89	1.0	mdp.39015048883865|uc1.b3579170|uc2.ark+=13960=t2w37rr9d	/works/OL1088786W	oclc	
OL1088798W	1	1	The grey fairy book	1900	0.83	1.0	uva.x002453551	/works/OL1088798W	oclc	
OL1088821W	4	3	A monk of Fife	1896	0.9	1.0	mdp.39015048883907|uc2.ark+=13960=t1dj5dq8f|uc1.b3324330|uc2.ark+=13960=t2g73gd9r	/works/OL1088821W	oclc	
OL1088823W	1	1	Much darker days	1884	0.76	0.999	nyp.33433074872775	/works/OL1088823W	oclc	
OL1088835W	4	2	Old friends	1892	0.87	0.988	mdp.39015059420946|uc2.ark+=13960=t6154gr8h|njp.32101013147549|uc2.ark+=13960=t9w090q24	/works/OL1088835W	oclc	
OL1088837W	1	1	The olive fairy book	1907	0.89	1.0	mdp.39015054036796	/works/OL1088837W	oclc	
OL1088838W	1	1	The Orange fairy book	1906	0.88	0.995	nyp.33433068197957	/works/OL1088838W	oclc	
OL1088888W	1	1	The yellow fairy book	1894	0.89	1.0	uc2.ark+=13960=t0dv1d45p	/works/OL1088888W	oclc	
OL1088954W	3	1	In the wrong paradise	1886	0.9	1.0	mdp.39015048883873|mdp.39015048883881|uc2.ark+=13960=t9j38r93w	/works/OL1088954W	oclc	
OL1088959W	2	1	The red book of animal stories	1899	0.55	1.0	nyp.33433043995699|uc2.ark+=13960=t7mp4wh7k	/works/OL1088959W	oclc	
OL1088989W	2	1	The mark of Cain	1886	0.89	1.0	mdp.39015048883915|uc2.ark+=13960=t4sj1g55c	/works/OL1088989W	oclc	
OL1089177W	4	2	The paladins of Edwin the Great	1896	0.64	1.0	nnc1.1000393819|nyp.33433074895818|uc1.$b751330|uc2.ark+=13960=t8w956m8g	/works/OL1089177W	oclc	
OL1089857W	3	2	Eudocia	1921	0.84	1.0	nyp.33433075766711|uc2.ark+=13960=t14m94m14|uc2.ark+=13960=t7cr5rk1t	/works/OL1089857W	oclc	
OL1089948W	2	1	The fun of the fair	1909	0.88	1.0	mdp.39015063936135|uc2.ark+=13960=t3416zp3g	/works/OL1089948W	oclc	
OL1089952W	3	1	The human boy and the war	1916	0.84	1.0	mdp.39015063946589|nyp.33433075769525|uc2.ark+=13960=t6qz27r3k	/works/OL1089952W	oclc	
OL1090028W	4	2	The human boy	1900	0.89	1.0	nc01.ark+=13960=t5m919w2k|uc1.b266650|uc2.ark+=13960=t9f47p933|uc2.ark+=13960=t73t9gt97	/works/OL1090028W	oclc	
OL1090044W	3	1	Children of the mist	1899	0.9	1.0	mdp.39015023068813|nyp.33433075766539|uc2.ark+=13960=t1jh3g17z	/works/OL1090044W	oclc	
OL1090085W	1	1	Thirty more famous stories retold	1905	0.78	0.999	uva.x001271265	/works/OL1090085W	oclc	
OL1090701W	1	1	Castle Omeragh	1903	0.89	0.995	uc1.l0063791321	/works/OL1090701W	oclc	
OL1090706W	1	1	Fanny's first novel	1913	0.89	1.0	uc2.ark+=13960=t6154kz6g	/works/OL1090706W	oclc	
OL1090719W	1	1	Nell Gwyn--comedian;	1901	0.88	1.0	nyp.33433074904958	/works/OL1090719W	oclc	
OL1090732W	1	1	"Discovering ""Evelina"";"	1913	0.89	1.0	njp.32101065844308	/works/OL1090732W	oclc	
OL1090736W	2	1	Love alone is lord	1905	0.84	1.0	nyp.33433074910344|uc2.ark+=13960=t4bn9zx8h	/works/OL1090736W	oclc	
OL1090737W	2	1	The love that prevailed	1907	0.9	1.0	nyp.33433074910351|uc2.ark+=13960=t8w952p96	/works/OL1090737W	oclc	
OL1090738W	1	1	A nest of linnets	1901	0.89	1.0	nyp.33433074904966	/works/OL1090738W	oclc	
OL1090746W	2	1	The Jessamy bride	1906	0.8	1.0	nyp.33433074904941|uc2.ark+=13960=t18k7874f	/works/OL1090746W	oclc	
OL109135W	5	2	Denry the audacious	1911	0.89	1.0	nyp.33433074928973|mdp.39015031225611|nyp.33433074928965|uc1.b3875169|uc2.ark+=13960=t8cf9q761	/works/OL109135W	oclc	
OL1091532W	6	1	The Gaverocks;	1887	0.86	1.0	uc1.b248451|uc1.b248452|uc1.b248453|uiuo.ark+=13960=t75t3wr7p|uiuo.ark+=13960=t7mp59c4p|uiuo.ark+=13960=t9b56v15k	/works/OL1091532W	oclc	
OL109153W	1	1	The Grand Babylon Hotel	1902	0.89	1.0	mdp.49015000914888	/works/OL109153W	oclc	
OL1091549W	3	1	The queen of love	1894	0.86	1.0	uiuo.ark+=13960=t07w6p56m|uiuo.ark+=13960=t18k7kz90|uiuo.ark+=13960=t3611b029	/works/OL1091549W	oclc	
OL1091572W	2	1	Perpetua	1897	0.89	1.0	mdp.39015039351344|nyp.33433074823042	/works/OL1091572W	oclc	
OL1091574W	1	1	Urith;	1891	0.83	0.999	uc2.ark+=13960=t6xw4gz33	/works/OL1091574W	oclc	
OL1091588W	4	2	Kitty alone	1894	0.9	1.0	uiuo.ark+=13960=t0vq3775c|uiuo.ark+=13960=t2891gv3r|uiuo.ark+=13960=t7kp89597|njp.32101067628725	/works/OL1091588W	oclc	
OL109165W	4	2	Lilian	1922	0.89	1.0	nyp.33433074926464|uc2.ark+=13960=t1td9t02z|mdp.39015031225199|uc1.$b792429	/works/OL109165W	oclc	
OL109199W	2	1	Whom God hath joined	1911	0.83	1.0	njp.32101068138252|uc2.ark+=13960=t4vh5jc84	/works/OL109199W	oclc	
OL109201W	3	1	The lion's share	1916	0.9	1.0	mdp.39015031225207|nyp.33433074926472|uc2.ark+=13960=t9959jk0f	/works/OL109201W	oclc	
OL109210W	3	1	These twain	1915	0.9	1.0	mdp.39015004743947|nyp.33433074926589|uc2.ark+=13960=t27941d98	/works/OL109210W	oclc	
OL109214W	2	1	The pretty lady	1918	0.9	0.998	nyp.33433074926548|uc2.ark+=13960=t6833r49b	/works/OL109214W	oclc	
OL109218W	4	2	Clayhanger	1910	0.9	1.0	mdp.39015003497438|mdp.39015001664369|nyp.33433074928957|uc1.b4097436	/works/OL109218W	oclc	
OL1092218W	1	1	A staircase of stories	1920	0.88	1.0	nyp.33433088074525	/works/OL1092218W	oclc	
