id	title	ref_count
https://openalex.org/W2808442487	Notes on Nonsculpture Sculpture: Figures of Sonic and Mirrored Infinity	0
https://openalex.org/W4244651743	Project Statement	0
https://openalex.org/W2031976591	Notes on the Phantom: A Complement to Freud's Metapsychology	0
https://openalex.org/W2044003659	On Diasporic Intimacy: Ilya Kabakov's Installations and Immigrant Homes	0
https://openalex.org/W4245119877	Editorial Note	0
https://openalex.org/W2078751348	Pluralism as Dogmatism	2
https://openalex.org/W4411631528	Portals to the Soul: Facial Recognition Technologies and Chinese Portraiture	16
https://openalex.org/W4233905089		0
https://openalex.org/W2087046802	Narrative and Drama in the Lyric: Robert Frost's Strategic Withdrawal	0
https://openalex.org/W2082418679	A Letter from Berlin	0
https://openalex.org/W2773379078	John C. Welchman. <i>Past Realization: Essays on Contemporary European Art XX–XXI</i>. Vol. 1. Berlin: Sternberg Press, 2016. 501 pp.	0
https://openalex.org/W4244727960	Thing Theory	0
https://openalex.org/W2034964049	Technopoetics: Seeing What Literature Has to Do with the Machine	2
https://openalex.org/W2034180351	Beauty, the Irreal, and the Willing Assumption of Disbelief	1
https://openalex.org/W2921304755	The Computational Case against Computational Literary Studies	18
https://openalex.org/W2569180895	The Value of Nonscience	0
https://openalex.org/W4214685743	Back Matter	0
https://openalex.org/W4248227886		0
https://openalex.org/W4240363451	Space | Poetry	7
https://openalex.org/W4254115687	Critical Multiculturalism	0
https://openalex.org/W1964836567	"""Sister Carrie'""s Popular Economy"	0
https://openalex.org/W1986405377	Laissez-Faire Linguistics: Grammar and the Codes of Empire	0
https://openalex.org/W4230153428		0
https://openalex.org/W3088352365	Mauro Carbone. <i>Philosophy-Screens: From Cinema to the Digital Revolution</i>. Albany, N.Y.: State University of New York Press, 2019. 166 pp.	0
https://openalex.org/W2087243142	Biography and Criticism: A Misalliance Disputed	0
https://openalex.org/W2003229623	Speaking about Muhammad, Speaking for Muslims	1
https://openalex.org/W2010195676	Representing Pornography: Feminism, Criticism, and Depictions of Female Violation	0
https://openalex.org/W4231577388		0
https://openalex.org/W4250045155	Volume Information	0
https://openalex.org/W4309029842	Jennifer L. Morgan. <i>Reckoning with Slavery: Gender, Kinship, and Capitalism in the Early Black Atlantic</i>. Durham, N.C.: Duke University Press, 2021. 296 pp.	0
https://openalex.org/W4231295069		0
https://openalex.org/W4233849078	Books of Critical Interest	86
https://openalex.org/W3140581693	Blind Time VI, Moral Blinds, Moral Limit	0
https://openalex.org/W4210512430	Back Matter	0
https://openalex.org/W4206390165	Back Matter	0
https://openalex.org/W2003796169	Optimism and Critical Excess (Process)	1
https://openalex.org/W1978377200	Facts and Fictions: A Reply to Ralph Rader	0
https://openalex.org/W4244854648	Books of Critical Interest	69
https://openalex.org/W2604947971	Boris Groys. <i>In the Flow</i>. Brooklyn, N.Y.: Verso, 2016. 208 pp.	0
https://openalex.org/W2062301384	Nations and Nationalism: Adultery in the House of David	0
https://openalex.org/W2754324981	Mitchell Dean and Kaspar Villadsen. <i>State Phobia and Civil Society: The Political Legacy of Michel Foucault</i>. Stanford, Calif.: Stanford University Press, 2016. 196 pp.	1
https://openalex.org/W1968879784	"""Preserving the Exemplar"": Or, How Not to Dig Our Own Graves"	0
https://openalex.org/W4255073766	Elaine Scarry. <i>Naming Thy Name: Cross Talk in Shakespeare’s Sonnets</i>. New York: Ferrar, Straus, and Giroux, 2016. 304 pp.	0
