openlibrary_work_key	selection_title	selection_author	hathitrust_volume_count	htid_count_api	pd_count_api	record_count	matched_oclc	oclc_tried	htid_count_title	pd_count_title	matched_title	matched_author	source	hathitrust_htid_count_current	hathitrust_pd_count_current	hathitrust_source_current	historical_htid_count	historical_current_mismatch	hathitrust_htid_count_final	hathitrust_pd_count_final	hathitrust_source_final	hathitrust_review_status	historical_final_changed
/works/OL505740W	The Moon and Sixpence	W Somerset Maugham	2	2.0	2.0	1.0	16209082.0	10.0						2	2	api	2	0	2	2	api	accepted	0
/works/OL20172W	Kim	Rudyard Kipling	1	1.0	0.0	1.0	10773884.0	10.0						1	0	api	1	0	1	0	api	accepted	0
/works/OL98585W	The Custom of the Country	Edith Wharton	1	1.0	0.0	1.0	20620509.0	10.0						1	0	api	1	0	1	0	api	accepted	0
/works/OL468362W	The Beautiful and the Damned	F Scott Fitzgerald	1	1.0	1.0	1.0	13395450.0	10.0						1	1	api	1	0	1	1	api	accepted	0
/works/OL100237W	The Financier	Theodore Dreiser	1	1.0	0.0	1.0	17759307.0	10.0						1	0	api	1	0	1	0	api	accepted	0
/works/OL509919W	Parades End	Ford Maddox Ford	2	2.0	0.0	1.0	3148820.0	8.0						2	0	api	2	0	2	0	api	accepted	0
/works/OL115067W	King Coal	Upton Sinclair	2	2.0	2.0	1.0	1391760.0	10.0						2	2	api	2	0	2	2	api	accepted	0
/works/OL85892W	Dracula	Bram Stoker	1											0	0	none	1	1	5	5	corrected_metadata_retry	accepted_after_identity_correction	1
/works/OL1154817W	The Crock of Gold	Stephens James	1	1.0	1.0	1.0	1398804.0	10.0						1	1	api	1	0	1	1	api	accepted	0
/works/OL1794919W	The Pit	Frank Norris	1	1.0	1.0	1.0	10050173.0	10.0						1	1	api	1	0	1	1	api	accepted	0
/works/OL4971729W	Megda	Emma Kelley	1	1.0	1.0	1.0	6508684.0	3.0						1	1	api	1	0	1	1	api	accepted	0
/works/OL44014215W	Strange Case of Dr Jekyll and Mr Hyde	Robert Louis Stevenson	2	2.0	2.0	1.0	11724131.0	1.0						2	2	api	2	0	2	2	api	accepted	0
/works/OL19870W	The Jungle Book	Rudyard Kipling	21	0.0	0.0	0.0		10.0	21.0	20.0	The jungle book / by Rudyard Kipling ; with illustrations by	Kipling, Rudyard, 1865-1936.	hathifiles_title	21	20	title_fallback	21	0	21	20	title_fallback_reviewed	accepted	0
/works/OL111382W	The Yearling	Marjorie Kinman Rawlings	1	1.0	0.0	1.0	1260144.0	10.0						1	0	api	1	0	1	0	api	accepted	0
/works/OL88813W	A Room with a View	E. M. Forster	1	1.0	0.0	1.0	10000633.0	10.0						1	0	api	1	0	1	0	api	accepted	0
/works/OL63009W	For Whom the Bell Tolls	Ernest Hemingway	1	1.0	0.0	1.0	10611304.0	10.0						1	0	api	1	0	1	0	api	accepted	0
/works/OL2337481W	The Frontiersman	Mary Noailles Murfree	5	5.0	5.0	1.0	2686154.0	2.0						5	5	api	5	0	5	5	api	accepted	0
/works/OL39349W	Mrs. Dalloway	Virginia Woolf	4	4.0	4.0	1.0	10332928.0	10.0						4	4	api	4	0	4	4	api	accepted	0
/works/OL468485W	Tender Is The Night	F Scott Fitzgerald	1	1.0	0.0	1.0	13823425.0	10.0						1	0	api	1	0	1	0	api	accepted	0
/works/OL39396W	To the Lighthouse	Virginia Woolf	2	2.0	0.0	1.0	1572793.0	10.0						2	0	api	2	0	2	0	api	accepted	0
/works/OL65430W	The Awakening	Kate Chopin	2	0.0	0.0	0.0		10.0	2.0	0.0	Awakening : the world at mid-century.		hathifiles_title	2	0	title_fallback	2	0	0	0	title_fallback_rejected	rejected_false_positive	1
/works/OL44622934W	The Jungle	Upton Sinclair	11	0.0	0.0	0.0		1.0	11.0	10.0	The jungle / With the author's 1946 introd.	Sinclair, Upton, 1878-1968.	hathifiles_title	11	10	title_fallback	11	0	11	10	title_fallback_reviewed	accepted	0
/works/OL462007W	Peter Pan	J. M. Barrie	1	1.0	0.0	1.0	10189295.0	10.0						1	0	api	1	0	1	0	api	accepted	0
/works/OL507321W	Pembroke	Mary Wilkins Freeman	4	4.0	4.0	1.0	1900142.0	10.0						4	4	api	4	0	4	4	api	accepted	0
/works/OL39360W	Orlando	Virginia Woolf	3	3.0	3.0	1.0	2747201.0	10.0						3	3	api	3	0	3	3	api	accepted	0
/works/OL100196W	The Genius	Theodore Dreiser	2	2.0	2.0	1.0	294159.0	10.0						2	2	api	2	0	2	2	api	accepted	0
/works/OL100203W	Sister Carrie	Theodore Dreiser	13	0.0	0.0	0.0		10.0	13.0	11.0	Sister Carrie / by Theodore Dreiser	Dreiser, Theodore, 1871-1945,	hathifiles_title	13	11	title_fallback	13	0	13	11	title_fallback_reviewed	accepted	0
/works/OL485410W	The Border Legion	Zane Grey	2	2.0	2.0	1.0	6929896.0	9.0						2	2	api	2	0	2	2	api	accepted	0
/works/OL18397742W	The North Star	Margaret Ellen Henry-Ruffin	0	0.0	0.0	0.0		1.0						0	0	none	0	0	0	0	none	no_current_match	0
