work_key	title	year	author_names	subject_keys	edition_count	judgment	note
/works/OL15396387W	Cherry Ames, Veterans' Nurse	1946	Helen Wells	children's_fiction|fiction|nurses|nurses_fiction	2		
/works/OL1794902W	A Deal In Wheat And Other Stories	1903	Frank Norris	fiction|social_life_and_customs|western_stories	95		
/works/OL55403W	Чайка	1915	Антон Павлович Чехов	actresses|authors|classic_literature|continental_european_drama_(dramatic_works_by_one_author)|criticism_and_interpretation|dictionaries|drama|drama_(dramatic_works_by_one_author)|drama_in_spanish|dramatic_works|english_drama|english_language|english_literature|fiction|german|korean|love|manuel|readers|russian_drama|russian_language|slavic_philology|spanish|stage|théâtre|translations_from_russian|translations_into_english|étude_et_enseignement	208		
/works/OL44989W	The well-beloved	1897	Thomas Hardy	british_and_irish_fiction_(fictional_works_by_one_author)|england_fiction|english_fiction|fiction|fiction_general|fiction_psychological|fiction_romance_general|historical_fiction|man-woman_relationships|man-woman_relationships_fiction|mothers_and_daughters|mothers_and_daughters_fiction|romance|sculptors|wessex_(england)_fiction	71		
/works/OL1794676W	Won by the sword	1899	G. A. Henty	children's_fiction|courage|diligence|europe_history_fiction|fiction|fiction_historical_general|fiction_war__military|guerre_de_trente_ans_1618-1648|history|juvenile_fiction|leadership|romans|romans_nouvelles|soldiers|swords|thirty_years'_war_1618-1648|war_stories	47		
/works/OL47286W	The Dain curse	1929	Dashiell Hammett	american_detective_and_mystery_stories|continental_op_(fictitious_character)|continental_op_(fictitious_character)_fiction|fiction|fiction_in_english|fiction_mystery__detective_general|fiction_mystery__detective_hard-boiled|fiction_thrillers_general|general|large_type_books|open_library_staff_picks|private_investigators|private_investigators_fiction	46		
/works/OL265819W	Das Totenschiff	1926	B. Traven	fiction|fiction_general|german_fiction|german_literature|novel|sailors|seafaring_life	51		
/works/OL455648W	The Great Stone Face and other tales of the White Mountains	1889	Nathaniel Hawthorne	american_fiction_(fictional_works_by_one_author)|american_historical_fiction|classic_literature|conduct_of_life|fiction|fiction_psychological|fiction_short_stories_(single_author)|gregg|large_type_books|new_hampshire_fiction|shorthand|spiritual_life|texts|white_mountains_cannon_mountain	21		
/works/OL4104765W	The metal monster	1920	A. Merritt	american_science_fiction|china_fiction|fiction|fiction_general|fiction_science_fiction_general	164		
/works/OL3389028W	The secret glory	1922	Arthur Machen	fiction|fiction_fantasy_general|grail|public_schools|sanctification|teenage_boys|visions	39		
/works/OL8608145W	The Poisoned Pen	1911	Arthur B. Reeve	chemistry_teachers|fiction|fiction_mystery__detective_general|new_york_(n.y.)_fiction|social_life_and_customs|teachers_fiction	47		
/works/OL109839W	Kept in the dark	1882	Anthony Trollope	british_and_irish_fiction_(fictional_works_by_one_author)|england_fiction|fiction|fiction_in_english|large_type_books|married_people|married_people_fiction|social_life_and_customs	21		
/works/OL10519705W	Le roi Babar	1935	Jean de Brunhoff	babar_(fictitious_character)|babar_(fictitious_character)_fiction|children's_fiction|children's_stories_french|elephants|elephants_fiction|fiction|folklore|juvenile_fiction	25		
/works/OL286572W	Uneasy Money	1917	P. G. Wodehouse	aristocracy_(social_class)|aristocracy_(social_class)_--_fiction|british|british_--_united_states_--_fiction|british_and_irish_fiction_(fictional_works_by_one_author)|england_fiction|fiction|fiction_humorous_general|fiction_in_english|fiction_romance_clean__wholesome|fiction_romance_romantic_comedy|humorous_stories|inheritance_and_succession|inheritance_and_succession_--_fiction|love_stories|new_york_(n.y.)_--_fiction	34		
/works/OL2007156W	Jill	1946	Philip Larkin	college_students|england_fiction|fiction|fiction_general|fiction_in_english|romans_nouvelles|social_conditions|étudiants	18		
/works/OL39350W	The password to Larkspur Lane	1933	Carolyn Keene	adventure_and_adventurers|adventure_stories|children's_fiction|children's_stories|collectionidndms|detective_and_mystery_stories|drew_nancy_(fictitious_character)_fiction|fiction|juvenile_fiction|juvenile_literature|mystery|mystery_and_detective_stories|nancy_drew_(fictitious_character)|women_detectives	28		
/works/OL810493W	Hushed up!	1900	William Le Queux	fiction|fiction_mystery__detective_general	59		
/works/OL137891W	In His steps	1897	Charles Monroe Sheldon	children's_fiction|christian_fiction|christian_life|christian_life.|christian_sociology|christian_stewardship|clergy|clergy_fiction|conduct_of_life|faith|fiction|fiction_christian_general|influence|jesus_christ_fiction|large_type_books	42		
/works/OL3020856W	The hollow man	1935	John Dickson Carr	england_fiction|fell_gideon_(fictitious_character)_fiction|fiction|fiction_crime|fiction_mystery__detective_general|gideon_fell_(fictitious_character)|private_investigators	22		
/works/OL99535W	The Magic City	1910	Edith Nesbit	children's_fiction|cities_and_towns|fantasy|fantasy_fiction|fiction|fiction_fantasy_general|juvenile_fiction|magic_fiction	445		
/works/OL2981505W	Equality	1897	Edward Bellamy	american_fiction_(fictional_works_by_one_author)|equality|fiction|fiction_political|fiction_science_fiction_general|socialism|utopias	17		
/works/OL485462W	Knights of Range	1936	Zane Grey	fiction|fiction_westerns|frontier_and_pioneer_life|large_type_books|manners_and_customs|outlaws|ranch_life|social_life_and_customs|women_ranchers	81		
/works/OL8125156W	Sir Percy Leads the Band	1936	Emma Orczy	blakeney_percy_sir_(fictitious_character)_fiction|fiction|fiction_action__adventure|fiction_general|fiction_historical_general|france_fiction|france_history_revolution_1789-1799_fiction|history|sir_blakeney_percy_(fictitious_character)	59		
/works/OL40946456W	Three Men on the Bummel	1900	Jerome Klapka Jérôme	british|cycling|fiction|humor	312		
/works/OL4785050W	Call It Courage	1940	Armstrong Sperry	5.0.|accelerated_reader|agemax12|agemin9|awardnewbery_award|boys_fiction|character_education|children's_booksages_9-12_fiction|children's_fiction|children's_literature|courage|courage_fiction|fear|fear_fiction|fiction|folklore|folklore_juvenile_literature|folklore_polynesia|general|grademax7|grademin3|habiletés_de_survie|juvenile_fiction|juvenile_literature|large_type_books|legends|lexile830|lexile_range801-900|literature_history_and_criticism|literature_history_and_criticism_juvenile_literature|newbery_medal|newbery_medal_book|perseverance|polynesia|polynesia_fiction|polynesian_folk_literature|romans_nouvelles|spanish_grades_4-7|summer_fiction|survival|survival_after_airplane_accidents_shipwrecks|survival_skills|wilderness_survival	51		
/works/OL627080W	Машенька (Mašenka)	1926	Vladimir Nabokov|Michael Glenny	belletristische_darstellung|continental_european_fiction_(fictional_works_by_one_author)|exiles|fiction|first_loves|flüchtling|liebesbeziehung|russen|russian_fiction|russians|translation_of_mashenʹka|translations_into_english|филологические_науки._художественная_литература_--_сша_--_американская_литература_--_20_в._(1917-)_--_до_1945_г._--_произведения_художественной_литературы_--_художественная_проза_--_романы._повести._рассказы|художественная_литература_--_сша_--_американская_литература_--_1-ая_пол._20_в._--_романы._повести._рассказы|художественная_литература_--_сша_--_американская_литература_--_до_1945_г._--_романы._повести._рассказы	42		
/works/OL2022013W	Twilight land	1894	Howard Pyle	adventure_and_adventurers_fiction|children's_fiction|classic_literature|fairy_tales|fiction	16		
/works/OL2343424W	Blackfoot Lodge Tales	1892	George Bird Grinnell	fiction|folklore|grinnell_george_bird_1849-1938|historical_fiction|indians|indians_of_north_america|indigenous_peoples|indigenous_peoples_in_literature|legends|siksika_indians|social_life_and_customs|tales|western|young_adult_fiction	26		
/works/OL3486942W	Rudolph the red-nosed reindeer	1939	Robert Lewis May	children's_fiction|christmas|christmas_fiction|christmas_stories|elves|fiction|glow-in-the-dark_books|juvenile_fiction|reindeer|reindeer_fiction|santa_claus|specimens|stories_in_rhyme|toy_and_movable_books	12		
/works/OL1190284W	Sodome et Gomorrhe	1919	Marcel Proust	continental_european_fiction_(fictional_works_by_one_author)|english_literature|ficción|fiction|fiction_general|fiction_psychological|france_fiction|french_literature|homosexuality|manners_and_customs|novela_autobiográfica|obsessive-compulsive_disorder|social_conditions|social_life_and_customs|translations_from_french|translations_into_english|translations_into_russian|vida_social_y_costumbres|villages	207		
/works/OL54864W	Claire Ambler	1928	Booth Tarkington	fiction|marriage|triangles_(interpersonal_relations)|young_women	14		
/works/OL2986878W	The Major	1917	Ralph Connor	classic_literature|fiction|western	21		
/works/OL15396517W	Elizabethan Drama	1910	Christopher Marlowe|William Shakespeare	ageing_parents|britons|castaways|children's_plays|classic_literature|classics|death|drama|drama_texts|drama_texts_from_c_1900_-|early_modern_and_elizabethan|education|english|english_drama|english_drama_(tragedy)|english_language|english_literature|english_literature_shakespeare_texts|english_plays|english_young_adult_drama|fathers|fathers_and_daughters|fathers_succession|fiction|higher_education|historical_drama|homicide|inheritance_and_succession|islands|juvenile_drama|juvenile_literature|kings_and_rulers|magicians|murder_victims'_families|open_syllabus_project|performing_arts|plays|political_refugees|princes|production_and_direction|quartos|regicide|regicides|revenge|scripts|shakespeare_plays|shipwreck_survival|shipwreck_victims|shipwrecks|spirits|succession|survival_after_airplane_accidents|texts|tragedy|tragicomedy	17		
/works/OL16249168W	Fairy tales from Hans Christian Andersen	1899	Hans Christian Andersen	children's_stories_danish|fairy_tales|fiction|juvenile_literature|short_stories|translations_into_english	16		
/works/OL764302W	Rogue warrior Seize The Day	1900	Richard Marcinko	biography|biography__autobiography|commando_troops|commando_troops_in_fiction|cuba_in_fiction|fiction|fiction_action__adventure|fiction_thrillers_espionage|germany_in_fiction|history|military|personal_memoirs|prevention|rogue_warrior_(fictitious_character)|rogue_warrior_(fictitious_character)_fiction|special_forces_(military_science)|terrorism|terrorism_in_fiction|united_states|united_states._navy|united_states._navy._sea_air_land_teams|united_states._navy._seals	12		
/works/OL69109W	Heroines of fiction	1901	William Dean Howells	chr_1901|fiction|history_and_criticism|pro_kirk_clara_marburg_1898-_(donor)_(culture_class_collection_copy)|pro_kirk_rudolf_1898-_(donor)_(culture_class_collection_copy)|women_in_art|women_in_literature|women_in_literature_and_art	15		
/works/OL710764W	Gospoda Golovlevy	1922	Mikhail Evgrafovich Saltykov-Shchedrin	classics|families|family|fiction|fiction_general|russia_(federation)_fiction	19		
/works/OL1917193W	A  woman of genius	1910	Mary Austin|Austin Mary Hunter	ambition|feminism|fiction|fiction_general|juvenile_fiction|social_conditions|women	44		
/works/OL485518W	Shadow on the Trail	1939	Zane Grey	fiction|fiction_in_english|fiction_westerns|large_type_books|outlaws|texas_fiction|texas_rangers|texas_rangers_fiction|western_stories	45		
/works/OL166885W	Кроткая	1914	Фёдор Михайлович Достоевский	continental_european_fiction_(fictional_works_by_one_author)|fiction|fiction_short_stories_(single_author)|grief|pawnbrokers|readers|russian_fiction|russian_language|stempel-baskerville_type|suicide|wives	20		
/works/OL789854W	Mäster Olof	1899	August Strindberg	drama|fiction	41		
/works/OL8445006W	Pimpernel and Rosemary	1924	Emma Orczy	adventure_stories|blakeney_percy_sir_(fictitious_character)_fiction|british|fiction|fiction_action__adventure|fiction_historical_general|france_fiction|france_history_revolution_1789-1799_fiction|history|sir_blakeney_percy_(fictitious_character)|world_war_1914-1918_--_fiction	20		
/works/OL118933W	La terre	1887	Émile Zola	characters|classic_literature|continental_european_fiction_(fictional_works_by_one_author)|country_life|fiction|fiction_family_life|fiction_general|fiction_historical|fiction_historical_general|france_fiction|french|french_fiction|french_literature|history|literature|long_now_manual_for_civilization|manners_and_customs|peasants|rural_life|social_conditions|translated_from_the_french	89		
/works/OL137391W	The Amazing Interlude	1918	Mary Roberts Rinehart	classic_literature|fiction|fiction_mystery__detective_general|fiction_thrillers_general|fiction_war__military|world_war_1914-1918|world_war_1914-1918_fiction	46		
/works/OL3481804W	The Kidnap Murder Case	1936	Willard Huntington Wright	detective_and_mystery_stories|fiction|fiction_mystery__detective_general|philo_vance_(fictitious_character)|private_investigators	62		
/works/OL2459826W	Great Northern?	1947	Arthur Michell Ransome	adventure|adventure_and_adventurers_fiction|amazons_(fictitious_characters__ransome)|birds_fiction|boats_and_boating|boats_and_boating_fiction|children's_fiction|fiction|juvenile_fiction|ocean_travel_fiction|rare_birds|sailing|scotland_fiction|swallows_(fictitious_characters)	17		
/works/OL273544W	The Works of Edgar Allan Poe in Five Volumes - Volume Five	1903	Edgar Allan Poe	19th_century_american_fiction|american_children's_poetry|american_fantasy_poetry|american_horror_tales|american_poetry|busts|children's_poetry|chinese|classic_literature|death|dictionaries|english_language|fantasy_fiction|fantasy_poetry|fiction|french|german|gothic_poetry|grief|juvenile_poetry|korean|laments|love_poetry|narrative_poetry|poetry|poetry_(poetic_works_by_one_author)|ravens|single_author_collections|spanish|supernatural|talking_birds|young_adult_nonfiction	37		
/works/OL96030W	Constance Dunlap, woman detective	1913	Arthur B. Reeve	fiction|fiction_mystery__detective_general|women_detectives	29		
/works/OL93397W	The talk of the town	1900	Ardal O'Hanlon	fiction|fiction_in_german|fiction_psychological|fiction_romance_general|friendship|friendship_fiction|ireland|ireland_fiction|young_men	11		
/works/OL63283W	İnce Memed	1900	Yaşar Kemal	action__adventure|fiction|fiction_-_general|fiction__literary|fiction_action__adventure|fiction_general|literary|modern_fiction|social_conditions|translations_into_english|turkey_fiction|turkish_(language)_contemporary_fiction|turkish_fiction|yasar_kemal_-_prose__criticism	25		
/works/OL244479W	Stage-land	1889	Jerome Klapka Jérôme	actors|anecdotes|anecdotes_facetiae_satire|english_short_stories|english_wit_and_humor|fiction|humor|theater|theater_anecdotes	64		
/works/OL54147W	Tom Sawyer, Detective	1897	Mark Twain	adventure|adventure_and_adventurers_fiction|american_authors|american_fiction_(fictional_works_by_one_author)|biography|boys|children's_fiction|detective_and_mystery_stories|fiction|fiction_action__adventure|huckleberry_finn_(fictitious_character)|humorous_stories|literature|mystery_and_detective_stories|readers_for_new_literates|sawyer_tom_(fictitious_character)_fiction|tom_sawyer_(fictitious_character)	276		
/works/OL1838891W	Nibsy's Christmas	1893	Jacob A. Riis	american_christmas_stories|fiction|social_life_and_customs|tenement_houses	25		
/works/OL2004218W	The Fashion in Shrouds	1938	Margery Allingham	albert_campion_(fictitious_character)|campion_albert_(fictitious_character)_fiction|england_fiction|england_in_fiction|english_detective_and_mystery_stories|fiction|fiction_crime|fiction_mystery__detective_general|fiction_mystery__detective_international_crime__mystery|fiction_mystery__detective_private_investigators|fiction_mystery__detective_traditional|london_(england)_fiction|private_investigators|private_investigators_fiction|private_investigators_in_fiction	33		
/works/OL16688W	The case of the shoplifter's shoe	1938	Erle Stanley Gardner	american_literature|california_fiction|detective_and_mystery_stories|diamonds|fiction|fiction_legal|fiction_mystery__detective_general|large_type_books|lawyers_fiction|los_angeles_(calif.)_fiction|mason_perry_(fictitious_character)_fiction|open_library_staff_picks|perry_mason_(fictitious_character)|shoplifting	17		
/works/OL1797258W	The White Morning	1918	Gertrude Atherton	california_fiction|fiction|fiction_historical_general|fiction_war__military|germany_fiction|women	23		
/works/OL2969068W	Infants of the spring	1932	Wallace Thurman	african_american_artists|african_american_authors|african_americans|african_americans_fiction|artists|authors|fiction|fiction_historical|fiction_historical_general|harlem_renaissance|histoire|history|new_york_(n.y.)_fiction|new_york_(state)_fiction|noirs_américains|romans_nouvelles	7		
/works/OL3956094W	Don Tarquinio: a kataleptic phantasmatic romance	1905	Frederick William Rolfe	fiction|fiction_historical_general|fiction_romance_historical_general|history|italy_fiction	16		
