work_key	jstor_mentions	openalex_snapshot_mentions	ol_edition_counts	htrc_ol_dump_match_summary_v2	canonical	title	author	type_threshold	type_kmeans
/works/OL10327497W	0.0	1.0	1	0.0				C_scholarly_obscure	
/works/OL10328517W	0.0	0.0	1	0.0	0.0	Schubert fantasies adapted from the German of Ottfried [pseud.]	Gottfried Jolsdorf	D_forgotten	
/works/OL10329068W	0.0	1.0	1	0.0	0.0	The murder of Edwin Drood recounted by John Jasper	Percy T. Carden	C_scholarly_obscure	
/works/OL10329220W	0.0	1.0	13	0.0	0.0	Daphnis & Chloe	Longus.	A_true_canon	
/works/OL10329910W	0.0	0.0	1	3.0				B_popular_unscholarly	
/works/OL10330023W	0.0	0.0	1	0.0	0.0	Re-told tales of the hills and shores of Maine	Henrietta Gould Rowe	D_forgotten	
/works/OL10330049W	0.0	0.0	2	0.0	0.0	Woodbourne	Mayo, Joseph	B_popular_unscholarly	
/works/OL10330131W	0.0	1.0	1	2.0	0.0	Off to Klondyke	William Gordon Stables	A_true_canon	
/works/OL10330137W	0.0	0.0	1	0.0	0.0	Lang syne	Mary Stuart Harrison Smith	D_forgotten	
/works/OL10330192W	0.0	0.0	2	1.0	0.0	Border lances	E. L. Seeley	B_popular_unscholarly	
/works/OL10331254W	0.0	0.0	4	0.0				B_popular_unscholarly	
/works/OL10334277W	0.0	0.0	3	0.0	0.0	The romance of Tristan & Iseult	Joseph Bédier	B_popular_unscholarly	
/works/OL10334338W	0.0	0.0	41	0.0	0.0	Flor de santidad	Ramón del Valle Inclán	B_popular_unscholarly	
/works/OL10334362W	0.0	0.0	6	0.0	0.0	Gerifaltes de antaño	Ramón del Valle Inclán	B_popular_unscholarly	
/works/OL10334626W	0.0	0.0	2	0.0	0.0	Wander birds	Eric Walter White	B_popular_unscholarly	
/works/OL10335849W	5.0	1.0	6	0.0	0.0	Camino de perfección	Pío Baroja	A_true_canon	
/works/OL10335999W	0.0	0.0	1	0.0	0.0	Prince imperial	Martha Bibescu	D_forgotten	
/works/OL10336879W	0.0	0.0	14	0.0				B_popular_unscholarly	
/works/OL10337125W	0.0	0.0	1	0.0	0.0	The knife behind you .	James Walker Benét	D_forgotten	
/works/OL103374W	0.0	1.0	2	0.0	0.0	The Copperhead and other stories of the North during the American War	Harold Frederic	A_true_canon	
/works/OL103375W	1.0	1.0	118	2.0	0.0	The damnation of Theron Ware, or, Illumination	Harold Frederic	A_true_canon	
/works/OL103378W	1.0	2.0	3	4.0	0.0	The Copperhead	Harold Frederic	A_true_canon	
/works/OL103380W	0.0	0.0	4	2.0	0.0	Marsena	Harold Frederic	B_popular_unscholarly	
/works/OL10338391W	0.0	0.0	21	0.0	0.0	Geroĭ nashego vremeni	Mikhail I︠U︡rʹevich Lermontov	B_popular_unscholarly	
/works/OL103385W	0.0	0.0	6	2.0	0.0	Marsena, and other stories of the wartime	Harold Frederic	B_popular_unscholarly	
/works/OL103386W	2.0	0.0	16	2.0	0.0	In the sixties	Harold Frederic	A_true_canon	
/works/OL103390W	3.0	1.0	9	2.0	0.0	Seth's brother's wife	Harold Frederic	A_true_canon	
/works/OL10339102W	0.0	1.0	1	0.0				C_scholarly_obscure	
/works/OL103391W	0.0	1.0	12	0.0	0.0	The deserter, and other stories	Harold Frederic	A_true_canon	
/works/OL103393W	4.0	0.0	18	2.0	0.0	The market-place	Harold Frederic	A_true_canon	
/works/OL10340765W	0.0	1.0	2	0.0				A_true_canon	
/works/OL10340782W	0.0	1.0	20	0.0				A_true_canon	
/works/OL10343094W	0.0	0.0	1	0.0				D_forgotten	
/works/OL10343109W	0.0	0.0	1	0.0	0.0	Realism and reality	Anaïs Nin	D_forgotten	
/works/OL10343282W	4.0	8.0	9	0.0	0.0	Anton Reiser	Moritz, Karl Philipp	A_true_canon	
/works/OL10343415W	0.0	0.0	2	0.0	0.0	On the marble cliffs	Ernst Jünger	B_popular_unscholarly	
/works/OL10343423W	0.0	0.0	16	0.0	0.0	Auf den Marmorklippen	Ernst Jünger	B_popular_unscholarly	
/works/OL10343876W	0.0	0.0	2	0.0	0.0	Journey cake	Isabella McLennan McMeekin	B_popular_unscholarly	
/works/OL10343877W	0.0	0.0	2	0.0	0.0	Kentucky Derby winner	Isabella McLennan McMeekin	B_popular_unscholarly	
/works/OL10343892W	0.0	1.0	1	0.0	0.0	Chucklebait	Margaret Clara Scoggin	C_scholarly_obscure	
/works/OL10343901W	0.0	0.0	2	0.0				B_popular_unscholarly	
/works/OL10343944W	0.0	0.0	8	0.0	0.0	Junior miss	Sally Benson	B_popular_unscholarly	
/works/OL10343945W	0.0	2.0	4	0.0	0.0	Meet me in St. Louis	Sally Benson	A_true_canon	
/works/OL10345283W	0.0	0.0	1	0.0				D_forgotten	
/works/OL10345580W	0.0	0.0	2	0.0				B_popular_unscholarly	
/works/OL10345805W	0.0	1.0	1	0.0	0.0	Lucrece	Obey, André	C_scholarly_obscure	
/works/OL10347019W	0.0	0.0	1	2.0	0.0	The adventures of Captain Mago	Léon Cahun	B_popular_unscholarly	
/works/OL10349702W	0.0	0.0	13	0.0				B_popular_unscholarly	
/works/OL10351264W	0.0	0.0	1	0.0	0.0	Mosume Sets Yo: Or Woman's Sacrifice	Kentarō Kaneko	D_forgotten	
/works/OL10353532W	0.0	0.0	4	0.0	0.0	Among Jews	M. Salmonsen	B_popular_unscholarly	
/works/OL10353586W	5.0	2.0	3	0.0	0.0	Imperium in imperio	Sutton E. Griggs	A_true_canon	
/works/OL10353945W	0.0	0.0	2	0.0				B_popular_unscholarly	
/works/OL10353947W	0.0	0.0	4	0.0				B_popular_unscholarly	
/works/OL10353949W	0.0	1.0	1	0.0	0.0	The recuyell of the historyes of Troy	Raoul Lefèvre	C_scholarly_obscure	
/works/OL10353960W	0.0	1.0	1	0.0				C_scholarly_obscure	
/works/OL10355846W	0.0	2.0	17	0.0	0.0	Der Wehrwolf	Hermann Löns	A_true_canon	
/works/OL10355853W	0.0	0.0	2	0.0	0.0	Lover of life	Harsányi, Zsolt	B_popular_unscholarly	
/works/OL10355858W	0.0	0.0	3	0.0	0.0	The star-gazer	Harsányi, Zsolt	B_popular_unscholarly	
/works/OL10356096W	0.0	0.0	64	0.0	0.0	La femme et le pantin	Pierre Louÿs	B_popular_unscholarly	
/works/OL10359683W	0.0	8.0	18	0.0	0.0	Faraon	Bolesław Prus	A_true_canon	
/works/OL10362039W	0.0	0.0	3	0.0	0.0	Gift of the forest	Reginald Lal Singh	B_popular_unscholarly	
/works/OL10365583W	0.0	0.0	1	1.0	0.0	The land of gold	George G. Spurr	D_forgotten	
/works/OL10365604W	0.0	0.0	1	0.0	0.0	A cross of gold	Donald R. Barnett	D_forgotten	
/works/OL10366283W	0.0	0.0	2	0.0				B_popular_unscholarly	
/works/OL10366346W	0.0	0.0	1	0.0	0.0	Come slowly, Eden	Laura Benét	D_forgotten	
/works/OL10366355W	0.0	1.0	2	0.0	0.0	Washington Irving	Laura Benét	A_true_canon	
/works/OL10366388W	0.0	1.0	3	0.0	0.0	Perez and Martina	Pura Belpré	A_true_canon	
/works/OL10367841W	0.0	0.0	1	0.0				D_forgotten	
/works/OL103884W	3.0	2.0	5	0.0	0.0	America in English fiction, 1760-1800	Robert Bechtold Heilman	A_true_canon	
/works/OL10405486W	0.0	0.0	1	0.0	0.0	Let's play postman	Ruth E. Newton	D_forgotten	
/works/OL10405487W	0.0	0.0	1	0.0	0.0	Let's play store	Ruth E. Newton	D_forgotten	
/works/OL10405488W	0.0	0.0	1	0.0	0.0	Let's play train	Ruth E. Newton	D_forgotten	
/works/OL10411919W	0.0	1.0	1	0.0				C_scholarly_obscure	
/works/OL10412205W	0.0	1.0	4	0.0				A_true_canon	
/works/OL10413566W	0.0	1.0	2	0.0	0.0	Cranford/Cousin Phillis	Gaskell, Elizabeth Cleghorn	A_true_canon	
/works/OL10413W	0.0	0.0	5	0.0	0.0	Dwarf nose	Wilhelm Hauff	B_popular_unscholarly	
/works/OL10415698W	0.0	0.0	13	0.0	0.0	The crystal hunters	George Manville Fenn	B_popular_unscholarly	
/works/OL10416678W	2.0	1.0	6	0.0	0.0	The green child	Read, Herbert Edward	A_true_canon	
/works/OL10416772W	6.0	0.0	7	0.0	0.0	Evgeny Onegin	Aleksandr Sergeevich Pushkin	A_true_canon	
/works/OL10416779W	0.0	0.0	16	0.0	0.0	The Captain's daughter and other stories	Aleksandr Sergeevich Pushkin	B_popular_unscholarly	
/works/OL10417543W	0.0	1.0	11	0.0	0.0	Tales of Italy	Maksim Gorky	A_true_canon	
/works/OL10417844W	0.0	1.0	29	0.0				A_true_canon	
/works/OL10418511W	0.0	0.0	1	0.0				D_forgotten	
/works/OL10419085W	0.0	0.0	78	0.0				B_popular_unscholarly	
/works/OL10420127W	0.0	0.0	11	0.0	0.0	The Willoughby captains	Talbot Baines Reed	B_popular_unscholarly	
/works/OL10420431W	0.0	0.0	1	0.0	0.0	Arthur O'Leary, his wanderings and ponderings in many lands	Charles James Lever	D_forgotten	
/works/OL10420910W	3.0	1.0	4	0.0	0.0	The clever woman of the family	Yonge, Charlotte Mary	A_true_canon	
/works/OL10421341W	0.0	0.0	5	0.0	0.0	The Arsenal Stadium mystery	Leonard R. Gribble	B_popular_unscholarly	
/works/OL10421462W	0.0	0.0	5	0.0	0.0	The Durrants	Netta Muskett	B_popular_unscholarly	
/works/OL10421464W	0.0	0.0	6	0.0	0.0	The Gilded Hoop	Netta Muskett	B_popular_unscholarly	
/works/OL10421468W	0.0	0.0	7	0.0	0.0	Middle Mist	Netta Muskett	B_popular_unscholarly	
/works/OL10421472W	0.0	0.0	4	0.0	0.0	Plaster Cast	Netta Muskett	B_popular_unscholarly	
/works/OL10421473W	0.0	0.0	10	0.0	0.0	The Shadow Market	Netta Muskett	B_popular_unscholarly	
/works/OL10421476W	0.0	0.0	5	0.0	0.0	Wings in the Dust	Netta Muskett	B_popular_unscholarly	
/works/OL10421479W	0.0	0.0	9	0.0	0.0	Candle in the Sun	Netta Muskett	B_popular_unscholarly	
/works/OL10421480W	0.0	0.0	7	0.0	0.0	Cast the spear	Netta Muskett	B_popular_unscholarly	
/works/OL10421486W	0.0	0.0	8	0.0	0.0	Misadventure	Netta Muskett	B_popular_unscholarly	
/works/OL10421493W	0.0	0.0	7	0.0	0.0	Tamarisk	Netta Muskett	B_popular_unscholarly	
/works/OL10421495W	0.0	1.0	9	0.0	0.0	To-Day is Ours	Netta Muskett	A_true_canon	
/works/OL10421500W	0.0	0.0	7	0.0	0.0	Living with Adam	Netta Muskett	B_popular_unscholarly	
