work_id	oclc	htid	recordid	locnum	author	imprint	date	place	enumcron	subjects	title	prob80precise	genrepages	totalpages	englishpct	datetype	startdate	enddate	imprintdate
OL109221W	933530	uc2.ark+=13960=t7dr2sh01	6547858	PZ3.B438Mat	Bennett, Arnold,	New York;George H. Doran Company;c1912	1912	nyu			The matador of the Five Towns	0.89	407	430	1.0	s	1912.0	    	1912
OL109223W	758422	mdp.39015025130165	430463	PZ3.B438Mi	Bennett, Arnold,	New York;George H. Doran company;c1922	1922	nyu			Mr. Prohack	0.89	305	326	1.0	s	1922.0	    	1922
OL109223W	758422	mdp.39015031227633	430463	PZ3.B438Mi	Bennett, Arnold,	New York;George H. Doran company;c1922	1922	nyu			Mr. Prohack	0.89	305	326	1.0	s	1922.0	    	1922
OL109223W	758422	nyp.33433074926506	430463	PZ3.B438Mi	Bennett, Arnold,	New York;George H. Doran company;c1922	1922	nyu			Mr. Prohack	0.89	305	328	1.0	s	1922.0	    	1922
OL109223W	758422	uc1.b3811078	430463	PZ3.B438Mi	Bennett, Arnold,	New York;George H. Doran company;c1922	1922	nyu			Mr. Prohack	0.89	305	324	1.0	s	1922.0	    	1922
OL109223W	758422	uc2.ark+=13960=t71v5cb31	430463	PZ3.B438Mi	Bennett, Arnold,	New York;George H. Doran company;c1922	1922	nyu			Mr. Prohack	0.89	305	320	1.0	s	1922.0	    	1922
OL109226W	21147085	inu.32000001172271	6059031		Bennett, Arnold,	London;Chatto and Windus;1905.	1905	enk			Tales of the five towns	0.86	314	372	1.0	s	1905.0	    	1905
OL109226W	21147085	mdp.49015000916339	4474272		Bennett, Arnold,	London;Chatto & Windus;1905.	1905	enk			Tales of the five towns	0.86	314	374	1.0	s	1905.0	    	1905
OL109226W	21147085	njp.32101007865775	6059031		Bennett, Arnold,	London;Chatto and Windus;1905.	1905	enk			Tales of the five towns	0.85	314	376	1.0	s	1905.0	    	1905
OL109230W	363071	mdp.39015004743954	430431	PZ3.B438Hi	Bennett, Arnold,	New York;E. P. Dutton & company;1911	1911	nyu			Hilda Lessways	0.9	531	552	1.0	s	1911.0	    	1911
OL109230W	363071	nyp.33433074926423	430431	PZ3.B438Hi	Bennett, Arnold,	New York;E. P. Dutton & company;1911	1911	nyu			Hilda Lessways	0.89	531	560	1.0	s	1911.0	    	1911
OL109232W	963973	mdp.39015031225140	427304	PZ3.B438O	Bennett, Arnold,	New York;George H. Doran Company;c1913	1913	nyu			The old Adam;	0.89	376	394	1.0	s	1913.0	    	1913
OL109232W	963973	nyp.33433074926514	427304	PZ3.B438O	Bennett, Arnold,	New York;George H. Doran Company;c1913	1913	nyu			The old Adam;	0.89	374	400	1.0	s	1913.0	    	1913
OL109232W	963973	uc2.ark+=13960=t48p5xj8c	427304	PZ3.B438O	Bennett, Arnold,	New York;George H. Doran Company;c1913	1913	nyu			The old Adam;	0.89	375	392	1.0	s	1913.0	    	1913
OL109232W	13803777	uc2.ark+=13960=t88g8mj8t	7685882		Bennett, Arnold,	London;Methuen;1913	1913	enk			The regent;	0.86	319	372	1.0	s	1913.0	    	1913
OL109232W	975339	mdp.39015008816954	427672		Bennett, Arnold,	London;Methuen & co.;1913	1913	enk			The regent;	0.89	319	336	1.0	s	1913.0	    	1913
OL109233W	7016739	nyp.33433074928882	8663856		Bennett, Arnold,	London;Chatto & Windus;1902.	1902	enk		English fiction	Anna of the five towns	0.87	360	408	1.0	s	1902.0	    	1902
OL109236W	9316886	coo.31924013586932	11405950		Bennett, Arnold,	Leipzig;B. Tauchnitz;1909.	1909	gw 	v.1		The old wives' tale	0.82	309	344	0.993	s	1909.0	    	1909
OL109236W	9316886	coo.31924065004404	11405950		Bennett, Arnold,	Leipzig;B. Tauchnitz;1909.	1909	gw 	v.2		The old wives' tale	0.84	331	350	0.999	s	1909.0	    	1909
OL1096566W	3351446	uc2.ark+=13960=fk83j39n2w	6539568	F545.G85	Grierson, Francis,	London;John Lane;New York;John Lane Company;1913.	1913	enk		History;1813-1890;Mississippi River Valley;Fr̩mont, John Charles;Saint Louis (Mo.);Illinois;Alton (Ill.);Missouri;Lincoln, Abraham;Civil War, 1861-1865;Social life and customs;1809-1865	The valley of shadows	0.72	258	362	0.999	s	1913.0	    	1913
OL1096566W	3351446	uva.x000609795	6539568	F545.G85	Grierson, Francis,	London;John Lane;New York;John Lane Company;1913.	1913	enk		History;1813-1890;Mississippi River Valley;Fr̩mont, John Charles;Saint Louis (Mo.);Illinois;Alton (Ill.);Missouri;Lincoln, Abraham;Civil War, 1861-1865;Social life and customs;1809-1865	The valley of shadows	0.66	186	296	0.998	s	1913.0	    	1913
OL1096566W	3573681	uc1.31158004914536	11596986		Grierson, Francis,	London;New York;J. Lane;1913.	1913	enk		History;1813-1890;Mississippi River Valley;Fr̩mont, John Charles;Saint Louis (Mo.);Illinois;Alton (Ill.);IsBiographical;Missouri;Lincoln, Abraham;Civil War, 1861-1865;Social life and customs;1809-1865	The valley of shadows	0.51	176	302	0.999	s	1913.0	    	1913
OL1096566W	2574672	uiuo.ark+=13960=t00001h5b	8724066	F545.G84 1909a	Grierson, Francis,	London;Constable;1909.	1909	enk		History;1813-1890;Mississippi River Valley;Fr̩mont, John Charles;Saint Louis (Mo.);Lincoln, Abraham;Alton (Ill.);Missouri;Illinois;Civil War, 1861-1865;Social life and customs;1809-1865	The valley of shadows	0.65	188	302	0.998	s	1909.0	    	1909
OL1098394W	1729571	mdp.39015065534730	1428129		De la Mare, Walter,	New York;A.A. Knopf;1919.	1919	nyu			The three Mulla-mulgars	0.82	283	310	1.0	s	1919.0	    	1919
OL1098394W	1729571	nyp.33433082531447	1428129		De la Mare, Walter,	New York;A.A. Knopf;1919.	1919	nyu			The three Mulla-mulgars	0.81	277	310	0.999	s	1919.0	    	1919
OL1098394W	1729571	uc1.b4087604	1428129		De la Mare, Walter,	New York;A.A. Knopf;1919.	1919	nyu			The three Mulla-mulgars	0.82	287	318	0.999	s	1919.0	    	1919
OL1098394W	1729571	uc2.ark+=13960=t35145g5s	1428129		De la Mare, Walter,	New York;A.A. Knopf;1919.	1919	nyu			The three Mulla-mulgars	0.81	281	316	1.0	s	1919.0	    	1919
OL1098497W	4411721	uc2.ark+=13960=t45q4v61q	6493961		De la Mare, Walter,	London;E. Arnold;1910.	1910	enk			The return	0.84	308	320	1.0	s	1910.0	    	1910
OL1098497W	1729548	mdp.39015011331801	485634	PZ3.D3702R6	De la Mare, Walter,	New York;A. A. Knopf;1922.	1922	nyu			The return	0.89	290	309	1.0	s	1922.0	    	1922
OL1098497W	1729548	uc2.ark+=13960=t5db7zs8r	485634	PZ3.D3702R6	De la Mare, Walter,	New York;A. A. Knopf;1922.	1922	nyu			The return	0.89	290	312	1.0	s	1922.0	    	1922
OL1098501W	1726056	mdp.39015048709714	485438	PZ3.D3702Me	De la Mare, Walter,	London [etc.;W. Collins sons & co., ltd.;1921	1921	enk			Memoirs of a midget	0.89	369	394	1.0	s	1921.0	    	1921
OL1098501W	364203	mdp.39015010296823	485440	PZ3.D3702Me6	De la Mare, Walter,	New York;A. A. Knopf;1922.	1922	nyu			Memoirs of a midget	0.89	424	444	1.0	s	1922.0	    	1922
OL1098501W	364203	nyp.33433074963772	485440	PZ3.D3702Me6	De la Mare, Walter,	New York;A. A. Knopf;1922.	1922	nyu			Memoirs of a midget	0.89	418	446	0.999	s	1922.0	    	1922
OL1098501W	364203	uc2.ark+=13960=t3cz3776r	485440	PZ3.D3702Me6	De la Mare, Walter,	New York;A. A. Knopf;1922.	1922	nyu			Memoirs of a midget	0.89	426	444	1.0	s	1922.0	    	1922
OL109872W	7595048	uc1.b4715032	11256647		Trollope, Anthony,	New York;Dodd, Mead & company;1903 [c1893	1903	nyu	v.1		The duke's children	0.87	261	296	1.0	c	1903.0	1893	1903
OL109872W	7595048	uc1.b4715034	11256647		Trollope, Anthony,	New York;Dodd, Mead & company;1903 [c1893	1903	nyu	v.3		The duke's children	0.89	264	284	1.0	c	1903.0	1893	1903
OL109872W	7777442	uva.x000470377	9775677	PZ3.T75Du8	Trollope, Anthony,	New-York;Dodd, Mead & company;1893.	1893	xx 	v.6 PT.2		The duke's children	0.83	278	298	1.0	s	1893.0	    	1893
OL109872W	7777442	uva.x000470381	9775677	PZ3.T75Du8	Trollope, Anthony,	New-York;Dodd, Mead & company;1893.	1893	xx 	v.6 PT.3		The duke's children	0.83	265	284	1.0	s	1893.0	    	1893
OL1099980W	1626477	mdp.39015046862747	23899		Verne, Jules,	Philadelphia;Lippincott;1899.	1899	|||			An Antarctic mystery	0.56	183	358	1.0	|	1899.0	||||	1899
OL1103743W	1929807	uc2.ark+=13960=t7tm74b43	1418917		Masefield, John,	London;Wells Gardner, Darton & co.;1910	1910	enk		Duke of;1649-1685;Fiction;Monmouth, James Scott	Martin Hyde	0.84	330	350	1.0	s	1910.0	    	1910
OL1103743W	1548750	uc2.ark+=13960=t0gt5hs8p	6497612	PZ3.M377M	Masefield, John,	Boston;Little, Brown, and Company;1910	1910	mau		duke of;Fiction;1645-1685;Monmouth, James Scott	Martin Hyde, the duke's messenger	0.89	327	344	1.0	s	1910.0	    	1910
OL1103793W	7087326	mdp.39015011905224	633001		Masefield, John,	New York;Frederick A. Stokes company;1912	1912	nyu			Jim Davis	0.89	242	256	1.0	s	1912.0	    	1912
OL1103793W	7087326	nyp.33433074893466	633001		Masefield, John,	New York;Frederick A. Stokes company;1912	1912	nyu			Jim Davis	0.88	249	272	0.998	s	1912.0	    	1912
OL1103793W	7087326	uc2.ark+=13960=t1qf8mz1k	633001		Masefield, John,	New York;Frederick A. Stokes company;1912	1912	nyu			Jim Davis	0.89	241	256	0.997	s	1912.0	    	1912
OL1104079W	12130037	uc1.b3326059	7922838		Vachell, Horace Annesley,	London;J. Murray;1914.	1914	enk			Quinneys'	0.83	336	360	1.0	s	1914.0	    	1914
OL1104079W	12130037	uc2.ark+=13960=t4kk9d07s	7922838		Vachell, Horace Annesley,	London;J. Murray;1914.	1914	enk			Quinneys'	0.83	336	360	0.999	s	1914.0	    	1914
