work_id	htid_count	oclc_variants	title_htrc	date_htrc	prob80_max	englishpct_max	htids	title	first_publish_year	author_names	edition_count	decade
OL108456W	2	1	Scaramouche;	1921	0.87	1.0	uc1.b4090081|uc2.ark+=13960=t6n012w63	Scaramouche	1921	Rafael Sabatini	38	1920
OL1084997W	4	3	A happy boy	1909	0.89	1.0	uc1.b4740529|uc2.ark+=13960=t73t9h397|umn.31951d01315984z|uc2.ark+=13960=t8v981c83	A Happy Boy	1882	Bjørnstjerne Bjørnson	21	1880
OL108764W	1	1	The tale of Johnny Town-mouse	1918	0.54	0.975	mdp.39015089581832	The tale of Johnny Town-Mouse	1900	Beatrix Potter|Wendy Rasmussen	35	1900
OL108852W	1	1	Stories of Robin Hood & his merry outlaws	1904	0.87	1.0	uc2.ark+=13960=t77s7n59x	Robin Hood	1904	J. Walker McSpadden	20	1900
OL1088821W	1	1	A monk of Fife	1896	0.9	1.0	mdp.39015048883907	A Monk of Fife	1895	Andrew Lang	91	1890
OL1088954W	3	1	In the wrong paradise	1886	0.9	1.0	mdp.39015048883873|mdp.39015048883881|uc2.ark+=13960=t9j38r93w	In the Wrong Paradise	1886	Andrew Lang	52	1880
OL1090085W	1	1	Thirty more famous stories retold	1905	0.78	0.999	uva.x001271265	Thirty more famous stories retold	1905	James Baldwin	17	1900
OL109135W	4	1	Denry the audacious	1911	0.89	1.0	mdp.39015031225611|nyp.33433074928965|uc1.b3875169|uc2.ark+=13960=t8cf9q761	The Card, A Story Of Adventure In The Five Towns	1910	Arnold Bennett	98	1910
OL109153W	1	1	The Grand Babylon Hotel	1902	0.89	1.0	mdp.49015000914888	The Grand Babylon Hotel	1902	Arnold Bennett	75	1900
OL109201W	3	1	The lion's share	1916	0.9	1.0	mdp.39015031225207|nyp.33433074926472|uc2.ark+=13960=t9959jk0f	The Lion's Share	1916	Arnold Bennett	17	1910
OL109210W	3	1	These twain	1915	0.9	1.0	mdp.39015004743947|nyp.33433074926589|uc2.ark+=13960=t27941d98	These twain	1914	Arnold Bennett	48	1910
OL109221W	3	2	The matador of the Five Towns, and other stories	1912	0.89	1.0	uc2.ark+=13960=t6057wc8c|nyp.33433074926498|uc2.ark+=13960=t7dr2sh01	The Matador of the Five Towns and Other Stories	1912	Arnold Bennett	57	1910
OL109223W	5	1	Mr. Prohack	1922	0.89	1.0	mdp.39015025130165|mdp.39015031227633|nyp.33433074926506|uc1.b3811078|uc2.ark+=13960=t71v5cb31	Mr. Prohack	1922	Arnold Bennett	30	1920
OL109226W	3	1	Tales of the five towns	1905	0.86	1.0	inu.32000001172271|mdp.49015000916339|njp.32101007865775	Tales of the Five Towns	1905	Arnold Bennett	36	1900
OL109230W	2	1	Hilda Lessways	1911	0.9	1.0	mdp.39015004743954|nyp.33433074926423	Hilda Lessways	1900	Arnold Bennett	85	1900
OL109232W	5	3	The old Adam;	1913	0.89	1.0	mdp.39015031225140|nyp.33433074926514|uc2.ark+=13960=t48p5xj8c|uc2.ark+=13960=t88g8mj8t|mdp.39015008816954	The Regent	1913	Arnold Bennett	60	1910
OL109233W	1	1	Anna of the five towns	1902	0.87	1.0	nyp.33433074928882	Anna of the Five Towns	1902	Arnold Bennett	146	1900
OL109236W	2	1	The old wives' tale	1909	0.84	0.999	coo.31924013586932|coo.31924065004404	The old wives' tale	1900	Arnold Bennett	170	1900
OL1096566W	4	3	The valley of shadows	1913	0.72	0.999	uc2.ark+=13960=fk83j39n2w|uva.x000609795|uc1.31158004914536|uiuo.ark+=13960=t00001h5b	The valley of shadows	1909	Francis Grierson	16	1900
OL1098394W	4	1	The three Mulla-mulgars	1919	0.82	1.0	mdp.39015065534730|nyp.33433082531447|uc1.b4087604|uc2.ark+=13960=t35145g5s	The three royal monkeys, or the three mulla-mulgars	1910	Walter De la Mare	42	1910
OL1098497W	3	2	The return	1910	0.89	1.0	uc2.ark+=13960=t45q4v61q|mdp.39015011331801|uc2.ark+=13960=t5db7zs8r	The return	1910	Walter De la Mare	43	1910
OL1098501W	4	2	Memoirs of a midget	1921	0.89	1.0	mdp.39015048709714|mdp.39015010296823|nyp.33433074963772|uc2.ark+=13960=t3cz3776r	Memoirs of a midget	1921	Walter De la Mare	42	1920
OL109872W	4	2	The duke's children	1903	0.89	1.0	uc1.b4715032|uc1.b4715034|uva.x000470377|uva.x000470381	The Duke's Children	1880	Anthony Trollope	51	1880
OL1099980W	1	1	An Antarctic mystery	1899	0.56	1.0	mdp.39015046862747	An Antarctic Mystery	1899	Jules Verne	10	1890
OL1103743W	2	2	Martin Hyde	1910	0.89	1.0	uc2.ark+=13960=t7tm74b43|uc2.ark+=13960=t0gt5hs8p	Martin Hyde	1910	John Masefield	36	1910
OL1103793W	3	1	Jim Davis	1912	0.89	1.0	mdp.39015011905224|nyp.33433074893466|uc2.ark+=13960=t1qf8mz1k	Jim Davis	1900	John Masefield	32	1900
OL1104079W	2	1	Quinneys'	1914	0.83	1.0	uc1.b3326059|uc2.ark+=13960=t4kk9d07s	Quinneys'	1900	Horace Annesley Vachell	16	1900
OL1105155W	1	1	Carmen	1896	0.87	0.997	mdp.39015008145461	Carmen	1883	Prosper Mérimée	22	1880
OL1109044W	7	2	"The ""Breakfast-table"" series"	1891	0.89	1.0	uc1.b3293434|uc1.b3293435|uva.x001850702|mdp.39015024470943|mdp.39015030745312|mdp.39015063931441|uc1.b156079	Over the teacups	1890	Oliver Wendell Holmes, Sr.	26	1890
OL1112728W	2	2	Clara Hopgood	1896	0.89	1.0	njp.32101065599001|uc2.ark+=13960=t4xg9tm3z	Clara Hopgood	1896	William Hale White	43	1890
OL1113796W	6	3	Hugh Wynne, free Quaker	1897	0.9	1.0	uva.x004529780|mdp.39015030709680|uc1.32106015697896|uc1.32106019583837|uc1.b3327353|uc1.b3327354	Hugh Wynne, free Quaker	1896	S. Weir Mitchell	18	1890
OL1118216W	1	1	Under the yoke;	1912	0.88	1.0	uc2.ark+=13960=t4pk0d46m	Под игото	1912	Иван Минчов Вазов	17	1910
OL112788W	2	2	The colonel's dream	1905	0.89	1.0	mdp.39015066920219|nc01.ark+=13960=t50g4wj3w	The Colonel's Dream	1905	Charles Waddell Chesnutt	50	1900
OL1127988W	3	2	In the Carquinez woods	1912	0.89	1.0	uc2.ark+=13960=t3610wt9p|nyp.33433076071475|uc1.b251155	In the Carquinez woods	1883	Bret Harte	17	1880
OL1128005W	1	1	Openings in the old trail	1902	0.88	0.998	uc2.ark+=13960=t03x84h2d	Openings in the Old Trail	1902	Bret Harte	17	1900
OL1128009W	2	2	The crusade of the Excelsior	1887	0.83	1.0	uc2.ark+=13960=t0000076t|uc2.ark+=13960=t2c825194	The Crusade of the Excelsior	1887	Bret Harte	20	1880
OL1128010W	2	2	A Phyllis of the Sierras ; and, A drift from Redwood camp	1888	0.89	1.0	mdp.39015030141470|uc2.ark+=13960=t6833nv7j	A Phyllis of the Sierras	1887	Bret Harte	17	1880
OL1128013W	1	1	Maruja	1885	0.89	1.0	uc2.ark+=13960=t1ng4h41s	Maruja	1885	Bret Harte	21	1880
OL1128014W	2	1	On the frontier	1884	0.89	1.0	uc2.ark+=13960=t6tx35v32|uva.x000990761	On the Frontier	1884	Bret Harte	20	1880
OL1128015W	5	2	A waif of the plains	1890	0.82	1.0	njp.32101068599081|uc2.ark+=13960=t75t3h434|mdp.39015024521489|nyp.33433076076722|uc2.ark+=13960=t84j0bs5m	A waif of the plains	1890	Bret Harte	20	1890
OL1128017W	3	1	Clarence	1895	0.9	1.0	nc01.ark+=13960=t39z9z57p|nyp.33433076088198|uc1.b251180	Clarence	1895	Bret Harte	23	1890
OL1128020W	2	2	By shore and sedge	1885	0.89	1.0	uc2.ark+=13960=t8pc2v34c|uc2.ark+=13960=t72v2dd7f	By Shore and Sedge	1885	Bret Harte	24	1880
OL1128022W	5	3	Three partners;	1897	0.9	1.0	uc2.ark+=13960=t49p2wp02|mdp.39015063921079|nyp.33433076076359|uc2.ark+=13960=t1qf8jr7z|uc1.b3322626	The Three Partners	1897	Bret Harte	23	1890
OL1128024W	3	2	Cressy	1889	0.9	1.0	uc1.b251181|mdp.49015002241561|uc2.ark+=13960=t79s1mp7m	Cressy	1889	Bret Harte	29	1880
OL1130391W	5	2	Blazed trail stories	1919	0.89	1.0	mdp.39015063974276|uc2.ark+=13960=t04x57023|mdp.39015050981805|nyp.33433076046337|nyp.33433076046360	Blazed Trail Stories and Stories of the Wild Life	1904	Stewart Edward White	15	1900
OL1130392W	2	2	Gold	1913	0.84	1.0	uc2.ark+=13960=t4pk0c14w|nyp.33433076062045	Gold	1900	Stewart Edward White	16	1900
OL1130393W	3	1	The mystery	1907	0.83	1.0	mdp.39015030857968|nyp.33433076061989|uc2.ark+=13960=t6542km83	The mystery	1907	Stewart Edward White|Samuel Hopkins Adams	22	1900
OL1130401W	2	1	The gray dawn	1915	0.89	1.0	uc1.b4083049|uc2.ark+=13960=t6rx94p13	The Gray Dawn	1915	Stewart Edward White	19	1910
OL1130402W	1	1	The leopard woman	1916	0.88	1.0	nyp.33433076062029	The Leopard Woman	1916	Stewart Edward White	18	1910
OL1130406W	2	1	The sign at six	1912	0.89	0.999	mdp.39015063974680|nyp.33433076061930	The Sign at Six	1912	Stewart Edward White	19	1910
OL1130411W	4	2	Arizona nights	1907	0.88	1.0	uc2.ark+=13960=t5bc3v518|mdp.39015063974284|nyp.33433076038797|uc1.b3727412	Arizona Nights	1907	Stewart Edward White|N. C. Wyeth	30	1900
OL1130412W	3	3	The blazed trail	1902	0.89	1.0	uc1.b3727413|nyp.33433076046345|mdp.39015058344485	The blazed trail	1900	Stewart Edward White	28	1900
OL1133478W	3	1	Bevis	1882	0.84	1.0	uiuo.ark+=13960=t0wq0gd7n|uiuo.ark+=13960=t7tm7qq42|uiuo.ark+=13960=t9h427g45	Bevis, the story of a boy	1882	Richard Jefferies	51	1880
OL1139067W	1	1	The precipice	1916	0.89	1.0	uc2.ark+=13960=t9h41xr35	Obryv	1915	Ivan Aleksandrovich Goncharov	31	1910
OL1145604W	1	1	Queer stories for boys and girls	1884	0.8	1.0	mdp.39015031228821	Queer stories for boys and girls	1884	Edward Eggleston	20	1880
OL1145608W	1	1	The faith doctor;	1891	0.8	1.0	uc1.b4103981	The faith doctor	1891	Edward Eggleston	22	1890
OL1145615W	6	3	The Graysons: a story of Illinois	1888	0.89	1.0	uc1.b4103979|uc2.ark+=13960=t7dr2pz4j|mdp.39015031228839|nc01.ark+=13960=t42r4fd3t|uc2.ark+=13960=t6ww77h8m|uiuo.ark+=13960=t7hq40657	The Graysons	1887	Edward Eggleston	24	1880
OL1148248W	3	2	Love's cross-currents;	1905	0.87	1.0	uc2.ark+=13960=t9v11zr3n|mdp.39015057200985|uc2.ark+=13960=t2q52hb7d	Love's cross-currents	1905	Algernon Charles Swinburne	21	1900
OL1149227W	3	2	The Duchess of Wrexe, her decline and death;	1914	0.9	1.0	mdp.39015063959657|uc2.ark+=13960=t9g44mj04|uva.x000896263	The Duchess of Wrexe, her decline and death	1914	Hugh Walpole	28	1910
OL1149257W	5	2	The captives;	1920	0.9	1.0	uc2.ark+=13960=t9377c977|mdp.39015063959640|nyp.33433075755193|uc1.b3295276|uc2.ark+=13960=t9g44n18p	The captives	1920	Hugh Walpole	34	1920
OL1149271W	3	3	The prelude to adventure	1912	0.89	1.0	mdp.39015018647829|uc2.ark+=13960=t7pn9180w|uc2.ark+=13960=t9474b398	The prelude to adventure	1900	Hugh Walpole	33	1900
OL1149273W	3	2	The wooden horse	1914	0.89	1.0	uc2.ark+=13960=t92808c97|mdp.39015006567971|uc2.ark+=13960=t5t72dk7r	The wooden horse	1909	Hugh Walpole	20	1900
OL1149276W	3	1	The dark forest	1916	0.84	0.997	mdp.39015004829753|nyp.33433082484381|uc2.ark+=13960=t4cn71z6c	The dark forest	1916	Hugh Walpole	52	1910
OL114970W	3	1	Love's pilgrimage	1911	0.89	1.0	nyp.33433076039779|uc1.b4088972|uc2.ark+=13960=fk0ks6j264	Love's Pilgrimage (A Novel)	1911	Upton Sinclair	57	1910
OL115004W	2	2	The journal of Arthur Stirling	1903	0.58	1.0	nyp.33433076039738|nnc1.cu58379797	"The Journal of Arthur Stirling (""The Valley of the Shadow"")"	1903	Upton Sinclair	33	1900
OL115020W	1	1	They call me Carpenter;	1922	0.82	1.0	mdp.39015030711827	They Call Me Carpenter (A Tale of the Second Coming)	1922	Upton Sinclair	67	1920
OL115046W	3	2	Damaged goods;	1913	0.87	1.0	nyp.33433076039746|uc2.ark+=13960=t0gt5fm93|mdp.39015010682808	Damaged goods	1912	Upton Sinclair|Eugène Brieux	49	1910
OL115051W	1	1	A captain of industry	1906	0.87	1.0	nyp.33433076039753	A captain of industry	1906	Upton Sinclair	26	1900
OL115055W	5	2	Prince Hagen	1903	0.82	1.0	njp.32101067176402|uc2.ark+=13960=t53f4mm8g|nyp.33433076039654|uc1.b4089008|uc2.ark+=13960=fk6vx06d43	Prince Hagen	1903	Upton Sinclair	39	1900
OL115060W	2	1	Manassas;	1904	0.78	1.0	mdp.49015002542257|uc2.ark+=13960=t1cj87z9t	Manassas	1904	Upton Sinclair	24	1900
OL115073W	4	1	Jimmie Higgins;	1919	0.74	1.0	mdp.39015073390992|mdp.49015002553726|pst.000028680673|uc2.ark+=13960=t3416tv4j	Jimmie Higgins	1918	Upton Sinclair	61	1910
OL1164734W	4	1	Rootabaga stories	1922	0.79	1.0	mdp.39015002758475|mdp.39015018287048|nc01.ark+=13960=t3st8pq36|nyp.33433076043185	Rootabaga stories	1922	Carl Sandburg	13	1920
OL1165870W	1	1	The magnetic north	1904	0.89	1.0	uc2.ark+=13960=fk4th8bt6h	The Magnetic North	1904	Elizabeth Robins	14	1900
OL1176757W	2	1	Greene Ferne farm	1880	0.89	1.0	mdp.39015059422025|nyp.33433074867486	Green Ferne Farm	1880	Richard Jefferies	24	1880
OL1176782W	2	1	Wood magic	1881	0.88	1.0	uc2.ark+=13960=t6g15v68x|uc2.ark+=13960=t7dr2q69h	Wood Magic	1881	Richard Jefferies	33	1880
OL117873W	4	3	Robbery under arms	1912	0.89	1.0	njp.32101067631224|uc2.ark+=13960=t9t15092z|uc1.b3321414|uc2.ark+=13960=t3vt1r042	Robbery under arms	1888	Rolf Boldrewood	36	1880
OL118959W	2	1	Paris	1898	0.83	1.0	mdp.39015014588159|mdp.39015053160845	Paris	1897	Émile Zola	15	1890
OL118960W	3	1	Rome	1896	0.73	1.0	mdp.39015005713345|mdp.39015007013041|nyp.33433075837587	Rome	1896	Émile Zola	14	1890
OL118967W	1	1	Truth	1912	0.74	1.0	uc2.ark+=13960=t2z31r99x	Vérité	1900	Émile Zola	16	1900
OL118968W	2	1	The dream	1907	0.82	1.0	mdp.39015005766749|uiuo.ark+=13960=t8w95424j	The Dream	1888	Émile Zola	24	1880
OL118978W	1	1	Lourdes	1897	0.9	1.0	nyp.33433075837728	Lourdes	1894	Émile Zola	40	1890
OL118979W	1	1	Pot-Bouille	1882	0.81	1.0	njp.32101074875707	Pot-bouille	1882	Émile Zola	37	1880
OL1202093W	1	1	A chain of evidence	1912	0.88	0.993	nyp.33433076076136	A chain of evidence	1912	Carolyn Wells	32	1910
OL1202222W	1	1	Patty at home	1904	0.88	0.999	nyp.33433076073935	Patty at Home	1904	Carolyn Wells	47	1900
OL121231W	1	1	The Burgess animal book for children	1920	0.71	0.997	nyp.33433082300793	The Burgess animal book for children	1920	Thornton W. Burgess	5	1920
OL121233W	1	1	"Mother West Wind ""how"" stories"	1916	0.83	0.998	njp.32101074760446	"Mother West Wind ""how"" stories"	1916	Thornton W. Burgess|Harrison Cady|George Kerr	21	1910
OL121239W	1	1	The adventures of Grandfather Frog	1915	0.86	0.999	nyp.33433064202785	The adventures of Grandfather Frog	1915	Thornton W. Burgess	13	1910
OL121240W	1	1	The adventures of old Mr. Toad	1916	0.87	1.0	nyp.33433064202801	The Adventures of Old Mr. Toad	1916	Thornton W. Burgess|Harrison Cady|George Kerr	48	1910
OL121245W	1	1	"Mother West Wind ""why"" stories"	1915	0.88	0.999	mdp.39015082535421	Mother West Wind 'why' Stories	1915	Thornton W. Burgess|Harrison Cady	35	1910
OL121247W	1	1	The adventures of Unc' Billy Possum	1914	0.81	1.0	uc2.ark+=13960=t8pc2xt91	The adventures of Unc' Billy Possum	1914	Thornton W. Burgess	16	1910
OL1217993W	1	1	Three soldiers	1921	0.84	1.0	nyp.33433082486238	Three soldiers	1921	John Dos Passos	19	1920
OL1252616W	4	2	The garden of Allah	1904	0.9	1.0	mdp.39015059377633|mdp.49015002772011|uc2.ark+=13960=t9571c024|uc2.ark+=13960=t3mw2bz4j	The garden of Allah	1900	Robert Smythe Hichens	15	1900
OL1252617W	3	1	The green carnation	1894	0.79	1.0	uc1.b4094445|uc2.ark+=13960=t59c6sv0r|uva.x000211882	The Green Carnation	1894	Robert Smythe Hichens	37	1890
OL1253268W	2	2	The bronze eagle;	1915	0.86	1.0	nyp.33433075744858|uc2.ark+=13960=t6445kd5s	The bronze eagle	1915	Emma Orczy	47	1910
OL1266359W	1	1	Doctor Syn;	1915	0.89	1.0	mdp.39015005003275	Doctor Syn	1915	Russell Thorndike	35	1910
OL1285567W	2	1	The master	1895	0.84	1.0	mdp.39015030113404|uc2.ark+=13960=t11n7z639	The Master	1895	Israel Zangwill	17	1890
OL1285599W	1	1	The king of schnorrers;	1894	0.8	1.0	nnc1.0038018446	The King of the Schnorrers	1894	Israel Zangwill	74	1890
OL1285630W	2	1	The grey wig	1903	0.88	1.0	mdp.39015030113370|uc2.ark+=13960=t9q23x67v	The Grey Wig	1903	Israel Zangwill	18	1900
OL1285632W	5	3	Dreamers of the Ghetto	1898	0.9	1.0	nyp.33433075861710|uc1.b3327218|uc2.ark+=13960=t6057jv90|uc2.ark+=13960=t58c9v44x|mdp.39015006978814	Dreamers of the ghetto	1898	Israel Zangwill	55	1890
OL1285635W	1	1	Children of the ghetto;	1907	0.83	1.0	nnc1.0038018454	Children of the Ghetto	1892	Israel Zangwill	82	1890
OL13173151W	3	2	The kiss, and other stories	1908	0.89	1.0	mdp.39015020809144|mdp.39015013871879|njp.32101067866481	The kiss and other stories [15 stories]	1908	Антон Павлович Чехов	20	1900
OL134328W	1	1	Savrola;	1900	0.89	1.0	uc1.b299821	Savrola	1899	Winston S. Churchill	16	1890
OL1347401W	2	1	Heritage	1919	0.89	0.999	mdp.39015002753120|uc2.ark+=13960=t73t9h33b	Heritage	1919	Vita Sackville-West	14	1910
OL1347407W	2	2	The heir;	1922	0.83	1.0	mdp.39015002753138|uc2.ark+=13960=t4qj7bk0b	The heir	1922	Vita Sackville-West	22	1920
OL1349271W	2	2	Tarr	1918	0.88	1.0	uc1.32106005857609|mdp.39015011506139	Tarr	1918	Wyndham Lewis	38	1910
OL136609W	2	1	Madame Chrysanthème	1897	0.9	1.0	uc1.b317827|uc2.ark+=13960=t2k64fq5d	Madame Chrysantheme	1893	Pierre Loti	16	1890
OL137354W	4	2	Bab	1917	0.88	1.0	mdp.39015002717968|uc2.ark+=13960=t4th8f77f|nyp.33433076053820|uva.x001181105	Bab : a sub-deb	1917	Mary Roberts Rinehart	46	1910
OL137378W	3	2	Tish	1916	0.89	1.0	mdp.39015011882977|nyp.33433076047947|uc2.ark+=13960=t3nv9bd02	Tish	1916	Mary Roberts Rinehart	32	1910
OL137380W	2	1	Love stories	1919	0.84	1.0	uc1.b3122335|uc2.ark+=13960=t9f47jb9s	Love Stories	1919	Mary Roberts Rinehart	27	1910
OL137381W	3	2	More Tish	1921	0.89	1.0	mdp.39015063950029|nyp.33433076053804|uc2.ark+=13960=t87h1fc4z	More Tish	1921	Mary Roberts Rinehart	38	1920
OL137382W	3	1	When a man marries	1909	0.83	1.0	mdp.39015002717604|mdp.39015002717612|uc2.ark+=13960=t1qf8js9c	When a Man Marries	1909	Mary Roberts Rinehart	33	1900
OL137391W	3	1	The amazing interlude	1918	0.84	1.0	mdp.39015002717745|nyp.33433076053838|uc2.ark+=13960=t8df6mj3j	The Amazing Interlude	1918	Mary Roberts Rinehart	46	1910
OL137396W	1	1	The circular staircase	1908	0.89	1.0	njp.32101068602307	The Circular Staircase	1908	Mary Roberts Rinehart	182	1900
OL1375596W	1	1	Atlantis;	1912	0.89	1.0	mdp.49015001204594	Atlantis	1912	Gerhart Hauptmann	19	1910
OL137891W	1	1	In His steps;	1899	0.69	1.0	inu.32000002989350	In His steps	1897	Charles Monroe Sheldon	42	1890
OL1381218W	4	2	The untilled field	1903	0.89	1.0	nyp.33433074910195|uc2.ark+=13960=t13n2329s|njp.32101068585221|uc2.ark+=13960=t7vm4gd68	The untilled field	1903	George Moore	18	1900
OL1381220W	5	2	A mummer's wife	1908	0.9	1.0	mdp.39015053574474|uc2.ark+=13960=t23b62b9n|nyp.33433074910161|uc1.b4103035|uc2.ark+=13960=t8w953v6d	A mummer's wife	1884	George Moore	21	1880
OL1381223W	4	3	The brook Kerith;	1917	0.85	1.0	uc1.b3326147|uc2.ark+=13960=t6pz54q08|mdp.39015008456900|uc2.ark+=13960=t0gt5th1f	The brook Kerith	1916	George Moore	31	1910
OL1417916W	1	1	The beasts of Tarzan	1916	0.88	1.0	wu.89039191218	The Beasts of Tarzan (Classic Ace SF, F-203)	1914	Edgar Rice Burroughs	189	1910
OL1418238W	1	1	The mucker	1921	0.88	1.0	nyp.33433074848643	The Mucker	1921	Edgar Rice Burroughs	37	1920
OL1418246W	1	1	Jungle tales of Tarzan	1919	0.88	1.0	nyp.33433074848650	Jungle Tales of Tarzan	1919	Edgar Rice Burroughs	43	1910
OL1418250W	1	1	The son of Tarzan	1918	0.89	1.0	njp.32101068596491	The Son of Tarzan	1915	Edgar Rice Burroughs	59	1910
OL141891W	6	3	Standish of Standish	1895	0.89	1.0	uc1.b248102|uc1.b248103|wu.89098866296|wu.89098866312|njp.32101067628493|mdp.39015005617033	Standish of Standish	1889	Jane G. Austin	16	1880
OL1437468W	3	1	The adventurous Simplicissimus	1912	0.67	1.0	uc1.$b609402|uc2.ark+=13960=t3qv3j54p|uva.x000207902	Simplicissimus	1908	Hans Jakob Christoffel von Grimmelshausen	20	1900
OL144722W	3	1	On the Makaloa mat	1919	0.87	1.0	mdp.39015004287739|nyp.33433076076086|wu.89088299839	On the Makaloa Mat	1919	Jack London	27	1910
OL144771W	6	1	The game	1905	0.87	1.0	mdp.39015010219627|uc1.b3595162|uc1.b4105442|uc2.ark+=13960=fk4sj19x6n|uc2.ark+=13960=t3319t71v|wu.89005057542	The Game	1905	Jack London	30	1900
OL144788W	3	1	The house of pride	1912	0.87	1.0	mdp.39015048894243|uc1.b4102227|uc2.ark+=13960=fk9z02zs4t	The House of Pride and Other Tales of Hawaii	1912	Jack London	26	1910
OL144791W	3	1	Love of life, and other stories	1907	0.82	1.0	mdp.39015005450922|uc1.b4102220|uc2.ark+=13960=fk8w951357	Love of Life and Other Stories	1907	Jack London	44	1900
OL144801W	3	1	The turtles of Tasman	1916	0.86	1.0	mdp.39015048893989|uc1.b4102260|uc2.ark+=13960=fk6736mf65	The Turtles of Tasman	1916	Jack London	30	1910
OL144810W	1	1	The cruise of the Dazzler	1918	0.88	1.0	njp.32101079670590	The Cruise of the Dazzler	1902	Jack London	41	1900
OL144812W	1	1	A daughter of the snows	1902	0.89	1.0	inu.32000000658031	A Daughter of the Snows	1902	Jack London	50	1900
OL144814W	3	1	Jerry of the islands	1917	0.9	1.0	nyp.33433076076060|uc1.b4102226|uc2.ark+=13960=fk9765b15x	Jerry of the Islands	1916	Jack London	50	1910
OL144818W	2	1	Tales of the fish patrol	1905	0.87	1.0	uc1.b4102262|uc2.ark+=13960=fk1ng4gr6n	Tales of the Fish Patrol	1905	Jack London	66	1900
OL144820W	1	1	Adventure	1911	0.89	1.0	mdp.39015005588507	Adventure	1911	Jack London	53	1910
OL1455038W	1	1	Moni the goat boy, and other stories;	1906	0.88	1.0	uc2.ark+=13960=t9c53m08v	Moni the goat boy, and other stories	1906	Spyri, Johanna	8	1900
OL148385W	1	1	The rajah's people	1910	0.81	1.0	uc2.ark+=13960=t5r787m0d	The Native Born	1910	I. A. R. Wylie|I. Wylie	20	1910
OL14848627W	1	1	The finding of Jasper Holt	1916	0.88	1.0	nyp.33433076064058	The finding of Jasper Holt	1916	Grace Livingston Hill	7	1910
OL14848634W	2	1	The man of the desert	1914	0.89	1.0	uc1.b3322395|uc2.ark+=13960=t88g8h02h	The man of the desert	1914	Grace Livingston Hill	12	1910
OL14848636W	2	1	The girl from Montana	1922	0.83	1.0	nyp.33433076064041|uc2.ark+=13960=t34179g96	The Girl from Montana	1908	Grace Livingston Hill	17	1900
OL14861161W	3	2	The other house	1897	0.84	1.0	njp.32101068599685|uc2.ark+=13960=t0wp9ts1w|uc2.ark+=13960=t8qb9vv8s	The other house	1896	Henry James	26	1890
OL1487967W	1	1	God's good man	1904	0.88	1.0	mdp.39015063547494	God's good man	1894	Marie Corelli	34	1890
OL1487972W	4	2	Holy orders	1908	0.81	1.0	uc2.ark+=13960=t0tq5tg2j|mdp.39015063547502|nyp.33433081580841|uc2.ark+=13960=t4mk6d36t	Holy Orders	1908	Marie Corelli	21	1900
