openlibrary_work_key	selection_title	selection_author	selected_ol_title	selected_ol_author	selection_title_mismatch	selection_author_mismatch	selected_work_edition_count	strict_matching_work_count	strict_merged_edition_count	additional_editions_from_split_works	edition_inflation_ratio	strict_matching_work_keys	fallback_used
/works/OL109153W	Grand Babylon Hotel	Arnold Bennett	The Grand Babylon Hotel	Bennett, Arnold	0	0	75	1	75	0	1.0	/works/OL109153W	0
/works/OL51141W	The Job	Sinclair Lewis	The job	Sinclair Lewis	0	0	72	1	72	0	1.0	/works/OL51141W	0
/works/OL111382W	The Yearling	Marjorie Kinman Rawlings	The Yearling	Marjorie Kinnan Rawlings	0	0	65	1	65	0	1.0	/works/OL111382W	0
/works/OL82929W	As I Lay Dying	William Faulkner	As I Lay Dying	William Faulkner	0	0	62	1	62	0	1.0	/works/OL82929W	0
/works/OL98585W	The Custom of the Country	Edith Wharton	The Custom of the Country	Edith Wharton	0	0	61	1	61	0	1.0	/works/OL98585W	0
/works/OL715621W	The Odd Women	George Gissing	The odd women	George Gissing	0	0	36	1	36	0	1.0	/works/OL715621W	0
/works/OL507321W	Pembroke	Mary Wilkins Freeman	Pembroke	Mary Eleanor Wilkins Freeman	0	0	31	1	31	0	1.0	/works/OL507321W	0
/works/OL1797270W	Senator North	Gertrude Atherton	Senator North	Atherton, Gertrude Franklin Horn	0	0	29	1	29	0	1.0	/works/OL1797270W	0
/works/OL2339087W	The Red Axe	S R Crockett	The Red Axe	S. R. Crockett	0	0	28	1	28	0	1.0	/works/OL2339087W	0
/works/OL4902750W	Java Head	Joseph Hergesheimer	Java Head	Joseph Hergesheimer	0	0	27	1	27	0	1.0	/works/OL4902750W	0
/works/OL509919W	Parades End	Ford Maddox Ford	Parade's End	Ford Madox Ford	0	0	24	1	24	0	1.0	/works/OL509919W	0
/works/OL14864528W	The Rise of David Levinsky	Abraham Cahan	The rise of David Levinsky	Abraham Cahan	0	0	20	1	20	0	1.0	/works/OL14864528W	0
/works/OL4390503W	Gone to Earth	Mary Webb	Gone to Earth	Mary Gladys Meredith Webb	0	0	15	1	15	0	1.0	/works/OL4390503W	0
/works/OL2337481W	The Frontiersman	Mary Noailles Murfree	The Frontiersmen	Charles Egbert Craddock	1	1	9	1	9	0	1.0	/works/OL2337481W	0
/works/OL4971729W	Megda	Emma Kelley	Megda	Emma Dunham Kelley	0	0	6	1	6	0	1.0	/works/OL4971729W	0
/works/OL2107271W	Stepsons Of Light	Eugene Manlove Rhodes	Stepsons of light	Eugene Manlove Rhodes	0	0	5	1	5	0	1.0	/works/OL2107271W	0
/works/OL13144755W	The Homeward Trail	Waldron Baily	The Homeward Trail	Waldron Baily	0	0	3	1	3	0	1.0	/works/OL13144755W	0
/works/OL1487721W	Alas	Rhoda Broughton	Alas!	Rhoda Broughton	0	0	3	1	3	0	1.0	/works/OL1487721W	0
/works/OL1799163W	Hearts courageous	Hallie Rives	Hearts courageous	Rives, Hallie Erminie	0	0	2	1	2	0	1.0	/works/OL1799163W	0
/works/OL44622934W	The Jungle	Upton Sinclair	The jungle	Upton Sinclair	0	0	1	1	1	0	1.0	/works/OL44622934W	0
/works/OL18397742W	The North Star	Margaret Ellen Henry-Ruffin	The North Star	M. E. Henry-Ruffin	0	0	1	1	1	0	1.0	/works/OL18397742W	0
