work_key	edition_count	ocaid_count	ocaid_first
/works/OL76455W	206	5	balladofwhitehor0000gilb_p9v9
/works/OL1418187W	206	8	princessofmars00burriala
/works/OL503589W	206	13	niebla0000unam_t7s6
/works/OL872932W	205	23	siddharthaindian0000hess_j6x0
/works/OL24164W	205	45	masterofballantr01stev
/works/OL1797756W	204	2	middletemplemurd00flet_0
/works/OL76591W	204	16	threehostages0000buch_a7v6
/works/OL1528785W	204	15	fivelittlepepper0000marg_g0j6
/works/OL3335245W	203	63	bwb_Y0-DBW-516
/works/OL137397W	203	3	afterhouse0000mary
/works/OL262551W	202	2	landofmist0000doyl
/works/OL2341858W	202	13	cihm_71917
/works/OL81290W	202	11	aaronsrod0000lawr
/works/OL1418241W	202	2	outlawoftorn0000edga
/works/OL12827W	201	12	shadowsonrock0000will_r5u0
/works/OL25601428W	201	1	menofiron0000pyle_o9u4
/works/OL8070951W	201	9	bwb_P7-CAI-527
/works/OL472549W	201	13	maninbrownsuit0000chri_g1x6
/works/OL1793198W	201	4	allroadsleadtoca00jeroiala
/works/OL3389031W	200	4	hillofdreams00machrich
/works/OL36633W	200	15	rebeccaduma00dum
/works/OL76506W	199	9	manfromnorlands00buch
/works/OL52151W	197	4	sleeperawakesedb00well
/works/OL1418244W	196	4	chessmenofmars00burr_1
/works/OL2288675W	196	5	sifanmysteries0000rohm
/works/OL137388W	195	2	bat00rine_0
/works/OL2288676W	194	1	broodofwitchquee00rohm
/works/OL52195W	194	7	foodofgods0000well
/works/OL54896W	194	16	bwb_KU-761-932
/works/OL485552W	193	11	uptrailanovel00greygoog
/works/OL74501W	192	19	lifneheyothaadam00londiala
/works/OL76590W	191	6	saluteadventurer00buch
/works/OL1797739W	191	1	indaysofdrakeano00flet
/works/OL715553W	191	10	newgrubstreetnov02gissuoft
/works/OL1868689W	191	9	houseboatonstyx00banguoft
/works/OL88809W	191	35	passagetoindia0000fors_h5o1
/works/OL8075019W	191	6	isbn_9781546641629
/works/OL21905195W	190	3	mrsrafflesbeinga00bangiala
/works/OL827326W	190	4	candy0000sugi
/works/OL76584W	189	9	castlegayanovel0000buch
/works/OL1417916W	189	10	beastsoftarzan3b0000unse
/works/OL14866824W	188	17	magicmountainder00mann
/works/OL267174W	188	7	lamortdivanilitc0000tols_v6z9
/works/OL471724W	187	36	mortsurlenil0000chri
/works/OL18403W	187	4	mothergooseinpr00baumgoog
/works/OL1065779W	187	1	farewellnikola00bootrich
/works/OL476641W	187	21	winnydepuh0000aami
/works/OL17482W	186	5	lysbethtaleofdut0000hagg_d4d7
/works/OL1794485W	186	6	bericbritonstory00gahe
/works/OL76588W	184	8	bwb_KS-473-740
/works/OL5115523W	182	7	houseathousandc01nichgoog
/works/OL63009W	182	21	porquiendoblanl00hemi
