work_key	work_title	work_author	total_candidates	sampling_method	sampling_seed	sampled_n	include_substantive_n	include_mention_n	broad_visibility_include_n	exclude_non_scholarly_n	exclude_unrelated_n	unclear_n	error_n	broad_visibility_rate_among_decided	model	prompt_version	included_n	decided_n	scholarly_rate	estimated_scholarly_count	raw_rank	semantic_rank	rank_shift	abs_rank_shift
/works/OL42468585W	Moby Dick	Herman Melville	971	uniform_reservoir_sampling	20260713	40	26	4	30	7	1	2	0	0.789	gpt-5-mini	literary_visibility_v4_final_20260818	30	38	0.7894736842105263	766.578947368421	13.0	10.0	-3.0	3.0
/works/OL44047506W	Moby-Dick; or, The whale	Herman Melville	40	uniform_reservoir_sampling	20260713	40	32	2	34	6	0	0	0	0.85	gpt-5-mini	literary_visibility_v4_final_20260818	34	40	0.85	34.0	126.5	111.0	-15.5	15.5
/works/OL8675756W	Monkey	Wu, Cheng'en	92	uniform_reservoir_sampling	20260713	40	15	0	15	11	14	0	0	0.375	gpt-5-mini	literary_visibility_v4_final_20260818	15	40	0.375	34.5	95.5	109.0	13.5	13.5
/works/OL12104222W	Monkey	Chʻeng-en Wu	92	uniform_reservoir_sampling	20260713	40	13	1	14	11	15	0	0	0.35	gpt-5-mini	literary_visibility_v4_final_20260818	14	40	0.35	32.2	95.5	114.0	18.5	18.5
/works/OL39349W	Mrs. Dalloway	Virginia Woolf	740	uniform_reservoir_sampling	20260713	40	32	2	34	2	4	0	0	0.85	gpt-5-mini	literary_visibility_v4_final_20260818	34	40	0.85	629.0	19.0	14.0	-5.0	5.0
/works/OL275128W	Native Son	Wright, Richard	307	uniform_reservoir_sampling	20260713	40	24	4	28	8	2	2	0	0.737	gpt-5-mini	literary_visibility_v4_final_20260818	28	38	0.7368421052631579	226.21052631578945	45.0	46.0	1.0	1.0
/works/OL27244253W	New South	Horatio M. Bennett	70	uniform_reservoir_sampling	20260713	40	0	0	0	13	27	0	0	0.0	gpt-5-mini	literary_visibility_v4_final_20260818	0	40	0.0	0.0	108.5	135.0	26.5	26.5
/works/OL505583W	Nightwood	Barnes, Djuna.	131	uniform_reservoir_sampling	20260713	40	28	1	29	6	0	5	0	0.829	gpt-5-mini	literary_visibility_v4_final_20260818	29	35	0.8285714285714286	108.54285714285714	83.5	72.0	-11.5	11.5
/works/OL1168083W	Nineteen Eighty-Four	George Orwell	437	uniform_reservoir_sampling	20260713	40	25	4	29	8	2	1	0	0.744	gpt-5-mini	literary_visibility_v4_final_20260818	29	39	0.7435897435897436	324.948717948718	31.0	32.0	1.0	1.0
/works/OL1064049W	Notre-Dame	Victor Hugo	244	uniform_reservoir_sampling	20260713	40	21	4	25	11	3	1	0	0.641	gpt-5-mini	literary_visibility_v4_final_20260818	25	39	0.6410256410256411	156.41025641025644	60.0	59.0	-1.0	1.0
/works/OL44754882W	Oliver Twist	Charles Dickens	473	uniform_reservoir_sampling	20260713	40	24	5	29	7	2	2	0	0.763	gpt-5-mini	literary_visibility_v4_final_20260818	29	38	0.7631578947368421	360.9736842105264	30.0	24.0	-6.0	6.0
/works/OL2742623W	On writing	Anaïs Nin	44	uniform_reservoir_sampling	20260713	40	0	0	0	10	30	0	0	0.0	gpt-5-mini	literary_visibility_v4_final_20260818	0	40	0.0	0.0	122.5	135.0	12.5	12.5
/works/OL39360W	Orlando	Virginia Woolf	431	uniform_reservoir_sampling	20260713	40	25	2	27	5	3	5	0	0.771	gpt-5-mini	literary_visibility_v4_final_20260818	27	35	0.7714285714285715	332.4857142857143	32.0	29.0	-3.0	3.0
/works/OL44277048W	Our mutual friend	Charles Dickens	262	uniform_reservoir_sampling	20260713	40	25	2	27	7	4	2	0	0.711	gpt-5-mini	literary_visibility_v4_final_20260818	27	38	0.7105263157894737	186.1578947368421	57.0	51.0	-6.0	6.0
