oa_id	title	year	ref_count	referenced_work_ids
W2950186824	Michael Fried. <i>What Was Literary Impressionism?</i> Cambridge, Mass.: Harvard University Press, 2018. 408 pp.	2019	0	
W2789837738	Stephen Durrant, Wai-yee Li, and David Schaberg, trans. <i>Zuo Tradition/Zuozhuan: Commentary on the “Spring and Autumn Annals.”</i> 3 vols. Seattle: University of Washington Press, 2016. 2,243 pp.	2018	1	W2504358314
W1999390970	How We Got into Analysis, and How to Get out	1980	0	
W2062366882	"On the 'Universality' of Madness: Bessie Head's ""A Question of Power"""	1994	0	
W4214922354	Does Communist Art Exist?	2022	2	W2341536509|W2603898104
W4236258196	Noise	1977	0	
W1579779307	VLetter to the Editors	2010	1	W2032737021
W2014792487	RealFeel: Banality, Fatality, and Meaning in Kenneth Goldsmith's <i>The Weather</i>	2013	5	W1994534414|W1997151736|W3143392140|W4239696031|W4242694766
W2011718855	Two Kinds of Other and Their Consequences	1997	0	
W1983789583	Browning's Lyric Intentions	1980	0	
W2064948574	"How It Feels to Be a Problem: Du Bois, Fanon, and the ""Impossible Life"" of the Black Intellectual"	1997	0	
W4200607386	Front Matter	2021	0	
W4245079998	Our Neo-Cartesian Bodies in Parts	2007	0	
W4214889708	Ryan Johnson. <i>Transnationalism and Translation in Modern Chinese, English, French and Japanese Literatures</i>. New York: Anthem Press, 2021. 216 pp.	2022	0	
W3149582262	The Flight of Form: Auden, Bruegel, and the Turn to Abstraction in the 1940s	2005	0	
W1992787227	Aufbau/Bauhaus: Logical Positivism and Architectural Modernism	1990	0	
W2009011634	VIWit and Poetry and Pope, or The Handicap Principle	2011	2	W2044010933|W2313902326
W2808442487	Notes on Nonsculpture Sculpture: Figures of Sonic and Mirrored Infinity	2018	0	
W4244651743	Project Statement	2009	0	
W2031976591	Notes on the Phantom: A Complement to Freud's Metapsychology	1987	0	
W2044003659	On Diasporic Intimacy: Ilya Kabakov's Installations and Immigrant Homes	1998	0	
W4245119877	Editorial Note	1988	0	
W2078751348	Pluralism as Dogmatism	1986	2	W1590923900|W2077937294
W4411631528	Portals to the Soul: Facial Recognition Technologies and Chinese Portraiture	2025	16	W340371427|W644995244|W2056975168|W2508105231|W2538090753|W2618586284|W3002730272|W3138811114|W3192069151|W4210828708|W4213351749|W4213429631|W4223589229|W4234333274|W4239696031|W4250545994
W4233905089		2000	0	
W2087046802	Narrative and Drama in the Lyric: Robert Frost's Strategic Withdrawal	1979	0	
W2082418679	A Letter from Berlin	1991	0	
W2773379078	John C. Welchman. <i>Past Realization: Essays on Contemporary European Art XX–XXI</i>. Vol. 1. Berlin: Sternberg Press, 2016. 501 pp.	2017	0	
W4244727960	Thing Theory	2001	0	
W2034964049	Technopoetics: Seeing What Literature Has to Do with the Machine	1984	2	W2032498967|W2098485678
W2034180351	Beauty, the Irreal, and the Willing Assumption of Disbelief	2004	1	W4302382262
W2921304755	The Computational Case against Computational Literary Studies	2019	18	W601198322|W655809515|W2008679785|W2037510009|W2059343909|W2159276920|W2222577170|W2315893360|W2500585446|W2511804287|W2587326830|W2587380683|W2623551750|W2739195263|W2898975206|W2914584698|W3014779790|W4312764954
W2569180895	The Value of Nonscience	2003	0	
W4214685743	Back Matter	1986	0	
W4248227886		1996	0	
W4240363451	Space | Poetry	2016	7	W1505221106|W2121154667|W2317845212|W2318838424|W2650469876|W4243295745|W4313163039
W4254115687	Critical Multiculturalism	1992	0	
W1964836567	"""Sister Carrie'""s Popular Economy"	1980	0	
W1986405377	Laissez-Faire Linguistics: Grammar and the Codes of Empire	1997	0	
W4230153428		1994	0	
W3088352365	Mauro Carbone. <i>Philosophy-Screens: From Cinema to the Digital Revolution</i>. Albany, N.Y.: State University of New York Press, 2019. 166 pp.	2020	0	
W2087243142	Biography and Criticism: A Misalliance Disputed	1975	0	
W2003229623	Speaking about Muhammad, Speaking for Muslims	2011	1	W2482178582
W2010195676	Representing Pornography: Feminism, Criticism, and Depictions of Female Violation	1987	0	
W4231577388		2002	0	
W4250045155	Volume Information	1985	0	
W4309029842	Jennifer L. Morgan. <i>Reckoning with Slavery: Gender, Kinship, and Capitalism in the Early Black Atlantic</i>. Durham, N.C.: Duke University Press, 2021. 296 pp.	2022	0	
W4231295069		1990	0	
