work_key	title	author_name	first_publish_year	canonical	scope_flag	jstor_count	oa_count	edition_count	htid_count	pd_count	gr_ratings	gr_reviews	ratings_5	ratings_4	ratings_3	ratings_2	ratings_1	gr_match	log_jstor	log_oa	log_edition	log_htid	log_gr	wikidata_qid	sitelink_count
/works/OL205950W	Law and outlaw	Sidgwick, Alfred	1921	0	in_scope	0	0	2	2	2	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.4771	0.4771	0.0		0
/works/OL20658361W	Daughter At Home	Dorothy Phoebe Ansle	1939	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.0	0.0		0
/works/OL20802W	Maggie, a child of the streets	Crane, Stephen	1896	0	in_scope	0	1	2	1	1	0	0	0	0	0	0	0	NO_MATCH	0.0	0.301	0.4771	0.301	0.0		0
/works/OL2103973W	Uncle Piper of Piper's Hill	Tasma	1891	0	in_scope	0	0	2	1	1	7	3	1	0	3	3	0	UNIQUE	0.0	0.0	0.4771	0.301	0.9031		0
/works/OL211519W	Riders up!	Gerald Beaumont	1922	0	in_scope	0	0	2	3	3	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.4771	0.6021	0.0		0
/works/OL22065786W	The hermit of the Culebra Mountains, or, The adventures of two schoolboys in the far West	McNeil, Everett	1904	0	in_scope	0	0	1	1	1	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.301	0.301	0.0		0
/works/OL2254756W	The year of jubilo	Ruth Sawyer	1940	0	in_scope	0	0	4	1	0	72	8	27	19	13	3	10	YEAR_AUTH	0.0	0.0	0.699	0.301	1.8633		0
/works/OL2340064W	1791: a tale of San Domingo	E. W. Gilliam	1890	0	in_scope	0	0	2	1	0	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.4771	0.301	0.0		0
/works/OL2340244W	The art of writing & speaking the English language	Sherwin Cody	1903	0	in_scope	0	1	11	2	2	8	3	2	2	4	0	0	YEAR_AUTH	0.0	0.301	1.0792	0.4771	0.9542		0
/works/OL235776W	The perfect tribute	Mary Raymond (Shipman) Andrews	1906	0	in_scope	0	1	2	17	17	45	11	16	12	15	1	1	UNIQUE	0.0	0.301	0.4771	1.2553	1.6628		0
/works/OL24293W	The boy Lincoln	William Osborn Stoddard	1905	0	in_scope	0	0	2	4	4	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.4771	0.699	0.0		0
/works/OL2462434W	The Tenant of Wildfell Hall / Agnes Grey	Anne Brontë	1914	0	in_scope	0	1	14	1	1	255	22	66	122	53	8	6	YEAR_AUTH	0.0	0.301	1.1761	0.301	2.4082		0
/works/OL28382W	Kaleidoscope	Stefan Zweig	1934	0	in_scope	0	0	3	2	0	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.6021	0.4771	0.0		0
/works/OL28596979W	Five Children and It, The Phoenix and the Carpet, and The Story of the Amulet	E. Nesbit	1930	0	in_scope	0	0	9	1	1	18462	759	5784	6479	4717	1125	357	RATINGS_MAX	0.0	0.0	1.0	0.301	4.2663		0
/works/OL2957120W	Clara Barton	Augusta Stevenson	1946	0	in_scope	0	0	10	0	0	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	1.0414	0.0	0.0		0
/works/OL31807554W	The shortest street	Jean Randall	1937	0	in_scope	0	0	2	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.4771	0.0	0.0		0
/works/OL318899W	Ajniḥah al-mutakassirah	Gibran, Kahlil	1912	0	out_lang	0	0	88	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	1.9494	0.0	0.0		0
/works/OL32031951W	John Splendid	Neil Munro	1898	0	in_scope	0	0	1	1	1	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.301	0.0		0
/works/OL32089695W	Westward ho!, or, The voyages and adventures of Sir Amyas Leigh, knight, of Burrough, in the county of Devon, in the reign of Her Most Glorious Majesty, Queen Elizabeth	Charles Kingsley	1882	0	in_scope	0	1	2	16	16	248	19	60	78	72	25	13	YEAR_AUTH	0.0	0.301	0.4771	1.2304	2.3962		0
/works/OL32092085W	Little Miss Crosspatch		1898	0	in_scope	0	0	1	0	0	28	1	6	11	11	0	0	YEAR_AUTH	0.0	0.0	0.301	0.0	1.4624		0
/works/OL32092942W	Obeying orders and other stories	Brown, E. E.	1880	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH	0.0	0.0	0.301	0.0	0.0		0
/works/OL32093542W	Light on shadowed paths	Arthur, T. S.	1891	0	in_scope	0	0	1	1	1	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.301	0.301	0.0		0
/works/OL32094477W	Under the snow	Katharine S. Macquoid	1894	0	in_scope	0	0	1	0	0	0	0	0	0	0	0	0	NO_MATCH_AUTH	0.0	0.0	0.301	0.0	0.0		0
