work_key	title	author_name	canonical	test_reason	oa_title_author_count	sampled_n
/works/OL15202836W	Josephus	Josephus, Flavius.	0	top_F	2750	40
/works/OL1124016W	Maria Edgeworth	Edgeworth, Maria	0	top_B	585	40
/works/OL41035W	Edgar Allan Poe	Poe, Edgar Allan	0	known_noise_case	3078	40
/works/OL118986W	Germinal	Emile Zola	0	top_A	194	40
/works/OL17996804W	Quo vadis?	Henryk Sienkiewicz	0	top_F	53	40
/works/OL42468585W	Moby Dick	Herman Melville	0	top_F	971	40
/works/OL1451547W	Michael Kohlhaas	Heinrich von Kleist	0	top_F	101	40
/works/OL6833332W	The rising	Myrtle Johnston	0	top_B	12	12
/works/OL1064049W	Notre-Dame	Victor Hugo	0	top_B	244	40
/works/OL43157758W	Don Quixote	Miguel de Cervantes Saavedra	0	top_B	84	40
/works/OL29305W	Henry James	Leon Edel	0	known_noise_case	144	40
/works/OL25129727W	Hedda Gabler	Henrik Ibsen	0	top_A	156	40
/works/OL29252913W	Rip Van Winkle	Irving, Washington	0	top_A	100	40
/works/OL24318597W	The Scarlet Letter	Nathaniel Hawthorne	0	top_F	796	40
/works/OL276386W	The Turn of the Screw	James, Henry	0	top_F	280	40
/works/OL102746W	Billy Budd	Herman Melville	0	top_F	268	40
/works/OL86319W	Finnegans Wake	Joyce, James	0	top_A	755	40
/works/OL27244253W	New South	Horatio M. Bennett	0	top_F	70	40
/works/OL44675271W	Pride and prejudice	Austen, Jane	0	top_F	1029	40
/works/OL32097612W	The nightingale	Hans Christian Andersen	0	top_B	32	32
/works/OL93840W	Une vie	Guy de Maupassant	0	top_A	54	40
/works/OL1190289W	À la recherche du temps perdu	Proust, Marcel	0	top_A	748	40
/works/OL42430849W	Red Badge of Courage	Stephen Crane	0	top_F	153	40
/works/OL82931W	Light in August	William Faulkner	0	top_A	289	40
/works/OL42601058W	Hard times	Charles Dickens	0	top_F	315	40
/works/OL1067116W	The American	Howard Fast	0	known_noise_case	2809	40
/works/OL32036014W	Lord Jim	Conrad, Joseph	0	top_A	372	40
/works/OL44277048W	Our mutual friend	Charles Dickens	0	top_F	262	40
/works/OL7906207W	In action	Frederick Britten Austin	0	top_B	60	40
/works/OL9655996W	You Can	George Matthew Adams	0	top_B	274	40
/works/OL82928W	Absalom, Absalom!	William Faulkner	0	top_A	379	40
/works/OL27517W	Farmer Giles of Ham	J. R. R. Tolkien	0	top_C	15	15
/works/OL471666W	Five Little Pigs	Agatha Christie	0	top_C	5	5
/works/OL505583W	Nightwood	Barnes, Djuna.	0	top_C	131	40
/works/OL82925W	Sanctuary	William Faulkner	0	top_C	135	40
/works/OL82930W	Sartoris	William Faulkner	0	top_C	79	40
/works/OL98586W	Summer	Edith Wharton	0	top_C	131	40
/works/OL24161W	The  black arrow	Robert Louis Stevenson	0	top_C	9	9
/works/OL23200W	The Moon is Down	John Steinbeck	0	top_C	36	36
/works/OL262496W	A Study in Scarlet	Doyle, Arthur Conan	0	top_C	48	40
/works/OL872903W	Peter Camenzind	Hermann Hesse	0	top_C	36	36
/works/OL24164W	The master of Ballantrae	Robert Louis Stevenson	0	top_C	23	23
/works/OL38753W	Under Western Eyes	Conrad, Joseph	0	top_A	181	40
