work_id	title	author_name_pop	first_publish_year	jstor_mention_count	via_creators	via_jtitle	last_name
/works/OL652944W	Condition humaine	André Malraux	1934	13	4	9	malraux
/works/OL1205602W	The shadow	Neil Miller Gunn	1948	13	12	1	gunn
/works/OL3919477W	Nevada	Burt Arthur	1949	13	13	0	arthur
/works/OL267933W	Gone With the Wind	Mitchell, Margaret	1936	13	5	8	mitchell
/works/OL21168902W	The praise of folly	Desiderius Erasmus	1941	13	2	11	erasmus
/works/OL731737W	Anthem	Ayn Rand	1936	13	7	6	rand
/works/OL115647W	Possession	A. S. Byatt	1890	13	3	10	byatt
/works/OL23194W	The Wayward Bus	John Steinbeck	1947	13	0	13	steinbeck
/works/OL113977W	Delta wedding	Eudora Welty	1946	13	0	13	welty
/works/OL4946313W	The priest	Sullivan, William L.	1911	13	13	0	sullivan
/works/OL19108241W	La condition humaine	André Malraux	1946	13	4	9	malraux
/works/OL43172786W	The gilded age	Mark Twain	1901	13	0	13	twain
/works/OL16206172W	Uncle Remus	Joel Chandler Harris	1901	12	1	11	harris
/works/OL24439246W	The Virginian	Owen Wister	1911	12	2	10	wister
/works/OL34654974W	Steppenwolf	Hermann Hesse	1929	12	1	11	hesse
/works/OL41290W	La Regenta	Alas, Leopoldo	1884	12	3	9	alas
/works/OL623479W	The Queen of Spades	Aleksandr Sergeevich Pushkin	1928	12	2	10	pushkin
/works/OL82921W	Mosquitoes	William Faulkner	1927	12	0	12	faulkner
/works/OL751153W	Tod des Vergil	Hermann Broch	1945	12	3	9	broch
/works/OL23204W	Of Mice and Men	John Steinbeck	1937	12	2	10	steinbeck
/works/OL86542W	The Confessions of Nat Turner	William Styron	1920	12	2	10	styron
/works/OL82930W	Sartoris	William Faulkner	1929	12	0	12	faulkner
/works/OL44989W	The well-beloved	Hardy, Thomas	1897	12	0	12	hardy
/works/OL94455W	Barren ground	Ellen Anderson Gholson Glasgow	1925	12	0	12	glasgow
/works/OL1339727W	Women beware women	Middleton, Thomas	1941	12	1	11	middleton
/works/OL630975W	Caves du Vatican	André Gide	1922	12	2	10	gide
/works/OL14861069W	The real thing	James, Henry	1893	12	3	9	james
/works/OL82916W	Intruder in the Dust	William Faulkner	1948	11	0	11	faulkner
/works/OL63068W	In our time	Ernest Hemingway	1925	11	0	11	hemingway
/works/OL93842W	Bel-Ami	Guy de Maupassant	1893	11	1	10	maupassant
/works/OL1340965W	Lorenzaccio	Alfred de Musset	1926	11	1	10	musset
/works/OL2005224W	At Swim-Two-Birds	Flann O'Brien	1939	11	0	11	obrien
/works/OL3741149W	The holiday	Stevie Smith	1949	11	8	3	smith
/works/OL3801001W	Aufzeichnungen des Malte Laurids Brigge	Rainer Maria Rilke	1930	11	0	11	rilke
/works/OL159541W	Moderato cantabile	Duras, Marguerite.	1900	11	3	8	duras
/works/OL276385W	The tragic muse	James, Henry	1890	11	1	10	james
/works/OL12830W	One of Ours	Willa Cather	1922	11	2	9	cather
/works/OL751154W	Der Tod des Vergil	Hermann Broch	1945	11	3	8	broch
/works/OL39411123W	The pirate	Scott, Walter	1885	11	6	5	scott
/works/OL113980W	The golden apples	Eudora Welty	1947	11	0	11	welty
/works/OL12789W	A Lost Lady	Willa Cather	1923	11	2	9	cather
/works/OL23199W	Cannery Row	John Steinbeck	1945	11	1	10	steinbeck
/works/OL41068W	The Black Cat	Poe, Edgar Allan	1914	11	1	10	poe
/works/OL7420340W	I, Paul	Lester A. Wolf	1948	11	11	0	wolf
/works/OL207262W	Slavery	Bart Kennedy	1905	11	11	0	kennedy
/works/OL1217994W	Manhattan Transfer	John Dos Passos	1925	11	0	11	passos
/works/OL25639159W	Tom Sawyer	Mark Twain	1931	11	1	10	twain
/works/OL276418W	Terminations	James, Henry	1895	11	10	1	james
/works/OL1287903W	Voyage au bout de la nuit	Louis-Ferdinand Céline	1932	11	3	8	c line
/works/OL630884W	La Symphonie pastoral	André Gide	1919	10	1	9	gide
/works/OL33401743W	The fruit of the tree	Edith Wharton	1907	10	1	9	wharton
/works/OL4280995W	The surrounded	D'Arcy McNickle	1936	10	2	8	mcnickle
/works/OL112797W	The house behind the cedars	Charles Waddell Chesnutt	1900	10	0	10	chesnutt
/works/OL17713345W	The Grandissimes	George Washington Cable	1907	10	0	10	cable
/works/OL2565782W	Roman de Tristan	Béroul	1939	10	1	9	b roul
/works/OL2227891W	Grand Meaulnes	Alain-Fournier	1947	10	5	5	alainfournier
/works/OL1388028W	The Once and Future King	White, T. H.	1939	10	2	8	white
/works/OL31555458W	Pinocchio	Carlo Collodi	1904	10	4	6	collodi
/works/OL1105155W	Carmen	Prosper Mérimée	1883	10	2	8	m rim e
/works/OL273550W	The Pit and the Pendulum	Poe, Edgar Allan	1907	10	0	10	poe
/works/OL5362121W	Melissa	Taylor Caldwell	1948	10	10	0	caldwell
/works/OL116335W	Let us now praise famous men	James Agee	1941	10	0	10	agee
/works/OL93841W	Pierre et Jean	Guy de Maupassant	1887	10	2	8	maupassant
/works/OL11676542W	Arthurian romances	Chrétien	1914	10	1	9	chr tien
/works/OL1683333W	Monica	Lewis, Saunders	1930	10	8	2	lewis
/works/OL28179549W	The New Yorker	Harold Wallace Ross	1925	10	8	2	ross
/works/OL652937W	Romans	André Malraux	1947	10	0	10	malraux
/works/OL4973948W	Contending forces	Pauline E. Hopkins	1900	10	0	10	hopkins
/works/OL1230156W	Henry Lawson	Henry Lawson	1947	10	1	9	lawson
/works/OL6818753W	The problem	F. Grant Gilmore	1915	10	10	0	gilmore
/works/OL857584W	Historia de Mayta	Mario Vargas Llosa	1894	10	3	7	llosa
/works/OL12831W	The Song of the Lark	Willa Cather	1915	10	3	7	cather
/works/OL32958942W	Colomba	Prosper Mérimée	1902	10	4	6	m rim e
/works/OL112796W	The Conjure Woman	Charles Waddell Chesnutt	1899	10	1	9	chesnutt
/works/OL14867072W	Der Tod in Venedig	Thomas Mann	1913	10	3	7	mann
/works/OL18483760W	The medieval French roman d'Alexandre ...	Alfred Foulet	1937	9	9	0	foulet
/works/OL2341858W	The Crisis	Winston Churchill	1901	9	9	0	churchill
/works/OL42951134W	The novels of Jane Austen	Austen, Jane	1926	9	0	9	austen
/works/OL4975720W	Batouala	Maran, René	1922	9	3	6	maran
/works/OL276466W	In the cage	James, Henry	1898	9	1	8	james
/works/OL14867077W	Lotte in Weimar	Thomas Mann	1939	9	2	7	mann
/works/OL6355103W	The heritage	Stevenson, Burton Egbert	1902	9	6	3	stevenson
/works/OL1073484W	Pluralistic Universe	William James	1908	9	4	5	james
/works/OL32033770W	Siddhartha	Hermann Hesse	1948	9	0	9	hesse
/works/OL36633W	Rebecca	Du Maurier, Daphne	1938	9	8	1	du maurier
/works/OL85231W	La Cousine Bette	Honoré de Balzac	1888	9	1	8	balzac
/works/OL733636W	Lucien Leuwen	Stendhal	1894	9	4	5	stendhal
/works/OL4991198W	The gesture	John Cobb Cooper	1948	9	9	0	cooper
/works/OL7368349W	Writers	Mildred I. Reid	1942	9	9	0	reid
/works/OL1003040W	Dom Casmurro	Machado de Assis	1900	9	1	8	assis
/works/OL42695133W	Twice-told tales	Nathaniel Hawthorne	1882	9	2	7	hawthorne
/works/OL83252W	Les femmes savantes	Molière	1900	9	5	4	moli re
/works/OL893948W	La tentation de saint Antoine	Flaubert, Gustave	1884	9	1	8	flaubert
/works/OL276409W	The ivory tower	James, Henry	1900	9	8	1	james
