work_id	htid_count	oclc_variants	title_htrc	date_htrc	prob80_max	englishpct_max	htids
OL3750797W	2	1	The great Pike's Peak rush	1917	0.89	1.0	uc1.31822038206702|uc2.ark+=13960=t3fx74s31
OL3750800W	1	1	The magic mashie and other golfish stories	1902	0.79	1.0	umn.319510020676862
OL3750822W	2	1	The boy settler; or, Terry in the new West	1916	0.89	1.0	uc1.b3331881|uc2.ark+=13960=t76t0ht6q
OL3750825W	1	1	Lost with Lieutenant Pike	1919	0.83	1.0	uc2.ark+=13960=t6445jc0h
OL3750827W	3	1	On the plains with Custer;	1913	0.71	1.0	mdp.39015006951043|uc2.ark+=13960=t07w67f1d|uc2.ark+=13960=t5h98zt09
OL3750831W	2	1	Opening the west with Lewis and Clark	1917	0.84	1.0	nyp.33433076053572|uc2.ark+=13960=t2599zr8q
OL37525W	1	1	The master-girl	1910	0.84	0.999	uc2.ark+=13960=t05x25t64
OL3753287W	1	1	The squatter and the don	1885	0.81	1.0	nyp.33433074938386
OL37538824W	1	1	Koradine	1897	0.9	1.0	wu.89098851280
OL3773681W	1	1	A drum's story	1909	0.6	1.0	nyp.33433081764130
OL3783260W	1	1	The call of the offshore wind	1918	0.88	1.0	nyp.33433076050503
OL3783261W	1	1	Campus days	1912	0.83	1.0	nyp.33433076050495
OL3783265W	1	1	First down, Kentucky!	1921	0.84	1.0	uva.x030826105
OL3783288W	1	1	College years	1909	0.89	1.0	nyp.33433076050339
OL3783293W	3	1	Ships across the sea;	1920	0.89	1.0	mdp.39015063946746|nyp.33433076050479|uc2.ark+=13960=t90864q9q
OL37990571W	1	1	Judy of York Hill	1922	0.89	1.0	mdp.39076002271869
OL3799841W	2	1	The lunatic at large	1905	0.83	1.0	nyp.33433074946835|uc2.ark+=13960=t59c6vb2t
OL3799843W	1	1	The man from the clouds	1919	0.89	1.0	nyp.33433074946843
OL37998858W	1	1	What happened to Barbara	1907	0.88	0.999	uc2.ark+=13960=t7gq6t31b
OL380242W	2	1	The pool in the desert	1903	0.83	1.0	nnc1.cu58309926|uc2.ark+=13960=t0sq8rs70
OL38085291W	2	1	The Hoosier school master;	1913	0.85	1.0	mdp.39015008494604|uc2.ark+=13960=fk4pk07740
OL3812734W	1	1	Tales from the Ægean	1894	0.88	1.0	mdp.39015058551337
OL3839478W	2	1	Caprice	1917	0.78	1.0	njp.32101068598174|uc1.$b794738
OL38464024W	1	1	My mother's girlhood	1904	0.62	1.0	wu.89098855414
OL38573691W	1	1	Hypatia;	1902	0.76	1.0	uc1.32106001943817
OL38573734W	1	1	Ch'un-kwang	1905	0.8	0.998	umn.31951002085561k
OL38581109W	5	3	The history of Henry Esmond, esq.;	1908	0.84	1.0	nnc1.cu58500472|uc1.l0066333493|mdp.39015013159440|uc1.b4104169|uc2.ark+=13960=t5n87dw5h
OL38604410W	1	1	The merchant of Berlin	1887	0.89	1.0	nnc1.cu50263412
OL38630W	2	2	Almayer's folly;	1915	0.89	0.999	mdp.39015065980735|mdp.39015038065663
OL38634W	3	2	An outcast of the islands	1920	0.89	1.0	uva.x000098172|uc1.b3321995|uc2.ark+=13960=t0qr4wv0c
OL3863778W	2	1	The house by the river	1921	0.9	1.0	nyp.33433074858204|uc2.ark+=13960=t2x34pf7r
OL3863781W	3	2	The secret battle	1919	0.86	1.0	uc2.ark+=13960=t0vq2vj8x|mdp.39015018598444|uc2.ark+=13960=t9t14xm19
OL3863910W	3	3	Major Vigoureaux	1907	0.84	1.0	uc2.ark+=13960=t5gb2328q|uc2.ark+=13960=t08w3g41f|nyp.33433075874796
