name
Lael Tucker Wertenbaker
Lajos Ziahy
Lanay Jackson
Lance Webb
Laura  Purcell
Laura Strandt
Laure Eve
Lauren Barnholdt
Laurey Bright
Laurie Kingery
Lee Carey
Leena Lehtolainen
Lena Manta
Leo Timmers
Leontia Flynn
Leslie Georgeson
Lex Valentine
Lian Gouw
Lilliana Rose
Linda Aronson
Linda Barrett
Linda Crew
Linda Hines
Linda Newbery
Linda Style
Linda van Rijn
Lisa M. Bitel
Lisa Mason
Lisa Patton
Liusi-Mod Montgomeri
Lois N. Erickson
Lois Richer
Lola Pridemore
Lorelei Buckley
Lori Lesko
Lorna Raver
Lt Colonel Bethel
Lucy Crane
Lucy Walker
Luise Muhlbach
Lyn Fraser
Lynn Raye Harris
Lynsey Stevens
Lyssa Layne
M. Rickert
M.M. Pollard
Malcolm C. Jensen
Malorie Blackman
Malveena McKendrick
Manda Scott
Manning Coles
Marcia Williams
Margaret Beames
Margaret Eleanor Leigh
Margaret McLean
Margaret Mead
Margaret Pemberton
Margaret Tarner
Maria Eugenia Ciocchini Suarez
Maria Hammarblad
Marianna Mayer
Marilyn Dalla Valle
Marilyn French
Marilyn Janovitz
Marilyn Lightstone
Marilyn Singer
Marina Fiorato
Marion Mainwaring
Marius Brill
Mark Arax
Mark Davidson
Mark Greaney
Mark Greenwood
Mark Skousen
Mark Terry
Mark Young
Martha A. Taylor
Martin   Page
Martin Caidin
Mary  Stewart
Mary Beth Smith
Mary Burchell
Mary E. Wilkins Freeman
Mary Francis Shura
Mary Freels Rosborough
Mary Oliver
Mary Platt Parmele
Mary Reed
Mary St. Leger Kingsley
Marya Layth
Matt Dinniman
Matthieu Biasotto
Maxim Gorky
Meagan Spooner
Meg Hutchinson
Megan Crewe
Melissa Keir
Mendele M. Seforim
Mendele Moykher-Sforim
Merel Roze
Michael  Stewart
Michael Cadnum
Michael Farmer
Michael Moorcock
Michael Robert Jennings
Michael Scott
Michael Talbot
Michel David
Michelanne Forster
Michele Dufresne
Migel de Servantes
Migkel Nte Therbantes
Mikhail Bulgakov
Mimi Wilde
Miral al-Tahawy
Miryam
Mitch Silver
Mollie Clarke
Molly Lefebure
Molly O'Keefe
Morgan Llywelyn
Mylene Fernandez Pintado
Myra Lucretia Taylor
Naklini Nadkarni
Nancy Bush
Nancy LaRonda Johnson
Neil Peart
Neta Jackson
Neville Williams
Ngugi wa Thiong'o
Nicholas  Anderson
Nicholas Jennings
Nick  Sweet
Nigel Peake
Nikki Grimes
Nora Roberts
Norman Lewis
Norman Longmate
Odd Nansen
Odon von Horvath
Oliver Wendell Holmes Jr.
Oscar Hammerstein II
P.J. Petersen
P.T. Deutermann
Palmer Brown
Pam Brown
Pamela Dean
Paolo d'Antonio
Pat Booth
Patricia Burstein
Patrick Carman
Patrizia Gorgerino
Paul     White
Paul Ferdinand Willert
Paul Genesse
Paul James Petrie
Paul Raine
Paul Yee
Paula Kennedy
Per Hansson
Peter Bently
Peter Corris
Peter F. Stevens
Peter H. Reynolds
Peter Helton
Peter Michael Wetherill
Peter Oborne
Peter S. Berman
Phil Vickery
Philip Jose Farmer
Phyllis A. Humphrey
Pip Broughton
Plato
Qian Zhong Shu
Qian Zhongshu
R. Hayes
R. Richard
R.L. Stine
R.M. Ballantyne
Racelle Rosett
Rachel Carrington
RaeAnne Hadley
Rafael Coira
Rafi Mittlefehldt
Rajeev Jacob
Raleigh Ruebins
Ralph Compton
Ralph Cotton
Randa Handler
Ravi Mangla
Ray Garton
ReGina Welling
Remy Simard
Richard A. Watson
Richard Bachman
Richard Corben
Richard Dawkins
Richard Holst
Richard Laymon
Richard Rodgers
Richard Sale
Rin Ahmad
Rishi
Rita Monaldi
Rita Tornqvist-Verschuur
Rob Waring
Robert A. Carter
Robert Ayton
Robert Benard
Robert Bevan
Robert Cantuar
Robert Creeley
Robert Elmer
Robert Isenberg
Robert Kee
Robert Lynn Asprin
Robert Lytle
Robert Munsch
Robin Becker
Robin Recht
Robin Recht, Jean Bastide
Robin Saxon
Roderich Rode Emile Zola
Roger Mais
Roger O. Hirson
Roger Ormerod
Ron Goulart
Rosario Ferre
Rose Elver
Rose Ispey
Rowan Williams
Ruchoma Shain
Rufus Butler Seder
Russell Scott
Ruth Vander Zee
S. Walden
Sahar Ayachi
Salim Bachi
Sally Hinchcliffe
Samantha Holt
Samiuel' B'ork
Samuel Bjork
Samuel Silvestre de Sacy
Sandra Dallas
Sandy Mitchell
Sara Teasdale
Sarah M. Ross
Sarah Myles
Sarah Wisseman
Sarat Chandra Chattopadhyay
Savanna Grey
Scott R. Rezer
Seanan McGuire
Selena Kitt
Serenity King
Shanna Hatfield
Sharon   Honeycutt
Sharyan Alleyne
Sherry Garland
Shirl Henke
Shirley Ann Grau
Shyla Colt
Sibilla Aleramo
Sonya C. Dodd
Sonya Hartnett
Stan Cutler
Stephen Cartwright
Stephen Fennimore
Stephen Mark Rainey
Stephen Rodefer
Stephen Schwartz
Steve Cooper
Steve Lipman
Steve Meagher
Steven Erikson
Steven L. Shrewsbury
Steven Shrewsbury
Stevie Davies
Stewart Granger
Stiv'n Eriks'n
Stuart M. Kaminsky
Sue Miller
Susan Dexter
Suzanne  Johnson
Suzanne Graham
Suzanne Roberts
Suzanne Scanlon
Sy Bartlett
Sylvia A. Winters
Synful Desire
T. Hilda Skae
Tahar ben Jelloun
Ted Stetson
Terence Rattigan
Teresa Denys
Terri Brisbin
The New Yorker
Thomas Chastain
Thomas Sterling
Thomas Weldon
Tim McGovan
Tim Songhurst
Tobias S. Buckell
Tom Weston
Tomie dePaola
Tony Strong
Tonya Snow-Cook
Tor Ulven
Tracy Kelleher
Trevor Bolton
Umar Nur Zain
Unknown
Valerie Hansen
Valerio Massimo Manfredi
Vance Muse
Veronica Bennett
Victor Boesen
Victor, Ed. Lange
Victoria Patterson
Victoria Purman
Victoria Wessex
Walt Disney Company
Watson Jenkins
Wendy Jones
Wendy Pfeffer
Wendy Wallace
Will Murray
William Humphrey
William J. Locke
William Pene du Bois
William Stadiem
William Stadium
William W. Johnstone
William Wordsworth
Wolfram von Eschenbach
Yannis Karatsioris
You Gan Gui
Yrsa Sigurdardottir
Yvonne Whittal
kumaar ketkr [Kumar Ketkar]
myjyl dy syrfnts
mykhy'yl bwlGkwf
myrl lTHwy
