openlibrary_work_key	selection_title	selection_author	broad_other_total	broad_other_retained_n	sampling_mode	sample_related_n	related_rate	estimated_related_n	estimated_related_n_ci_low	estimated_related_n_ci_high	sample_primary_n	primary_rate	estimated_primary_n	estimated_primary_n_ci_low	estimated_primary_n_ci_high	sample_scholarly_n	scholarly_rate	estimated_scholarly_n	estimated_scholarly_n_ci_low	estimated_scholarly_n_ci_high	sample_pedagogical_n	pedagogical_rate	estimated_pedagogical_n	estimated_pedagogical_n_ci_low	estimated_pedagogical_n_ci_high	sample_adaptation_n	adaptation_rate	estimated_adaptation_n	estimated_adaptation_n_ci_low	estimated_adaptation_n_ci_high
/works/OL39108W	Secret Agent	Joseph Conrad	257	100	sampled	0	0.0	0.0	8.916478666520788e-16	9.50732903919532	0	0.0	0.0	8.916478666520788e-16	9.50732903919532	0	0.0	0.0	8.916478666520788e-16	9.50732903919532	0	0.0	0.0	8.916478666520788e-16	9.50732903919532	0	0.0	0.0	8.916478666520788e-16	9.50732903919532
/works/OL40434746W	Tess of the D'Urbervilles	Thomas Hardy	13	13	all_retained	12	0.9230769230769231	12.0	12.0	12.0	7	0.5384615384615384	7.0	7.0	7.0	1	0.07692307692307693	1.0	1.0	1.0	2	0.15384615384615385	2.0	2.0	2.0	2	0.15384615384615385	2.0	2.0	2.0
/works/OL35695219W	Ulysses	James Joyce	1151	100	sampled	4	0.04	46.04	18.028462894271307	113.22469222706997	1	0.01	11.51	2.034314305825889	62.713611801689815	3	0.03	34.53	11.802957151668803	97.28178829839727	0	0.0	0.0	3.99333344169861e-15	42.57951643624052	0	0.0	0.0	3.99333344169861e-15	42.57951643624052
/works/OL86320W	Dubliners	James Joyce	18	18	all_retained	6	0.3333333333333333	6.0	6.0	6.0	4	0.2222222222222222	4.0	4.0	4.0	2	0.1111111111111111	2.0	2.0	2.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL14864528W	The Rise of David Levinsky	Abraham Cahan	3	3	all_retained	3	1.0	3.0	3.0	3.0	3	1.0	3.0	3.0	3.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL245401W	The Prisoner of Zenda	Anthony Hope	12	12	all_retained	10	0.8333333333333334	10.0	10.0	10.0	5	0.4166666666666667	5.0	5.0	5.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	5	0.4166666666666667	5.0	5.0	5.0
/works/OL715621W	The Odd Women	George Gissing	1	1	all_retained	1	1.0	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	1	1.0	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL12781W	Alexander's Bridge	Willa Cather	1	1	all_retained	1	1.0	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL39329W	Jacob's Room	Virginia Woolf	4	4	all_retained	4	1.0	4.0	4.0	4.0	4	1.0	4.0	4.0	4.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL98501W	Ethan Frome	Edith Wharton	60	60	all_retained	9	0.15	9.0	9.0	9.0	5	0.08333333333333333	5.0	5.0	5.0	0	0.0	0.0	0.0	0.0	3	0.05	3.0	3.0	3.0	1	0.016666666666666666	1.0	1.0	1.0
/works/OL24034W	Treasure Island	Robert Louis Stevenson	315	100	sampled	43	0.43	135.45	106.25989035094683	166.2715229199812	15	0.15	47.25	29.313853643518385	73.34321271112195	0	0.0	0.0	1.0928757898653885e-15	11.65295193520049	0	0.0	0.0	1.0928757898653885e-15	11.65295193520049	28	0.28	88.2	63.44000841523657	118.08729043625166
/works/OL40252771W	The Turn of the Screw	Henry James	20	20	all_retained	19	0.95	19.0	19.0	19.0	12	0.6	12.0	12.0	12.0	3	0.15	3.0	3.0	3.0	0	0.0	0.0	0.0	0.0	4	0.2	4.0	4.0	4.0
/works/OL74504W	White Fang	Jack London	13	13	all_retained	13	1.0	13.0	13.0	13.0	7	0.5384615384615384	7.0	7.0	7.0	0	0.0	0.0	0.0	0.0	1	0.07692307692307693	1.0	1.0	1.0	5	0.38461538461538464	5.0	5.0	5.0
/works/OL18814811W	Looking Backward	Edward Bellamy	66	66	all_retained	11	0.16666666666666666	11.0	11.0	11.0	9	0.13636363636363635	9.0	9.0	9.0	2	0.030303030303030304	2.0	2.0	2.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL4902750W	Java Head	Joseph Hergesheimer	23	23	all_retained	2	0.08695652173913043	2.0	2.0	2.0	2	0.08695652173913043	2.0	2.0	2.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL42236259W	The House of Mirth	Edith Wharton	6	6	all_retained	4	0.6666666666666666	4.0	4.0	4.0	3	0.5	3.0	3.0	3.0	1	0.16666666666666666	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
