openlibrary_work_key	selection_title	selection_author	openalex_semantic_visibility	jstor_ll_relevant_count	gr_ratings	openlibrary_edition_count_final	z_academic_openalex	z_academic_jstor	z_reader_goodreads	z_bibliographic_ol	academic_reader_residual_combined	academic_reader_configuration	z_scholarly_composite	scholarly_minus_reader	bibliographic_minus_reader	scholarly_minus_bibliographic
/works/OL37277W	Autobiography of Alice B Toklas	Gertrude Stein	49.18918918918919	6	6663	83	0.0915661589919654	-0.2706881147686175	0.057083587134835	-0.3009998504163118	-0.0333480991924048	roughly_balanced	-0.089560977888326	-0.146644565023161	-0.3580834375511468	0.2114388725279857
/works/OL4902750W	Java Head	Joseph Hergesheimer	1.0	0	15	27	-1.5077917252287183	-1.4800202472911517	-1.46384402657004	-0.9450072696172794	-0.0348511510933399	roughly_balanced	-1.4939059862599349	-0.0300619596898947	0.5188367569527607	-0.5488987166426554
/works/OL100237W	The Financier	Theodore Dreiser	26.76470588235294	6	3486	352	-0.2022521371064407	-0.2706881147686175	-0.1062271067726769	0.5405800874123871	-0.0628315696861557	roughly_balanced	-0.236470125937529	-0.1302430191648522	0.6468071941850639	-0.7770502133499162
/works/OL8193416W	The Picture of Dorian Gray	Oscar Wilde	462.0	34	694769	3014	1.194278024165112	0.7295353455753475	1.2287799016986196	1.7979146259305665	-0.1090342404259282	roughly_balanced	0.9619066848702298	-0.2668732168283898	0.5691347242319469	-0.8360079410603367
/works/OL4390503W	Gone to Earth	Mary Webb	5.0	2	346	87	-0.9625656287292292	-0.7972615173901539	-0.6880514349764721	-0.2737297793282329	-0.246095935882642	roughly_balanced	-0.8799135730596916	-0.1918621380832195	0.4143216556482392	-0.6061837937314587
/works/OL20839W	Maggie, a girl of the streets	Stephen Crane	37.39473684210527	4	6282	263	-0.041378615722055	-0.4797967869471867	0.0422390513257004	0.3702776398727343	-0.2749824461099087	roughly_balanced	-0.2605877013346208	-0.3028267526603212	0.3280385885470339	-0.6308653412073552
/works/OL63009W	For Whom the Bell Tolls	Ernest Hemingway	204.3076923076923	17	209824	182	0.7906895352889318	0.3162700097160416	0.9268814328781252	0.1554567596650812	-0.3054955164241059	roughly_balanced	0.5534797725024867	-0.3734016603756385	-0.771424673213044	0.3980230128374055
/works/OL468488W	This Side of Paradise	F Scott Fitzgerald	64.21621621621622	10	48583	495	0.2215477301953436	0.010208787809342	0.5579941746431543	0.7399515979386239	-0.4855663553507384	roughly_balanced	0.1158782590023428	-0.4421159156408114	0.1819574232954696	-0.624073338936281
/works/OL52267W	The Time Machine	H. G. Wells	141.02631578947367	20	311720	1186	0.6078093537327945	0.4120706151323803	1.026690330174849	1.2514753931590976	-0.5664992480581207	roughly_balanced	0.5099399844325874	-0.5167503457422615	0.2247850629842487	-0.7415354087265102
/works/OL98501W	Ethan Frome	Edith Wharton	56.08108108108108	14	84941	1002	0.1554248321111535	0.2029619429538112	0.6988627645541502	1.1527394756358895	-0.6343876536385775	roughly_balanced	0.1791933875324823	-0.5196693770216678	0.4538767110817393	-0.9735460881034071
