work_key	ocaid
/works/OL1184871W	cheri0000cole_z8g8
/works/OL498556W	metamorphosis0000kafk_m2d2
/works/OL1230715W	lapeste0000camu
/works/OL4234947W	benme00robe
/works/OL4107393W	sherwoodring00eliz
/works/OL276471W	henryjamesselect0000jame_b9m1
/works/OL460817W	finalcurtain0000ngai
/works/OL3847246W	exitrainmaker0000cole_n8h6
/works/OL4342659W	innameonly00leig
/works/OL1798690W	mrdooleysphilos00dunngoog
/works/OL1124294W	bwb_W7-CRK-993
/works/OL2337408W	oldplantationday00giel
/works/OL41290W	laregenta00alasgoog
/works/OL1181545W	babarzephir00brun
/works/OL85231W	cousinbette0000balz
/works/OL1798826W	stingaree00horngoog
/works/OL1238111W	silvercircus0000copp
/works/OL1205602W	shadow0000gunn
/works/OL505752W	narrowcorner0000maug_q7w5
/works/OL15158874W	arabiannightstal0000unse_j9c9
/works/OL7301647W	manualreadyrefe00johngoog
/works/OL46390W	foundationtrilog00asim
/works/OL59377W	soworthymylovewood00wood
/works/OL47275W	thinman0000hamm_n9p8
/works/OL276386W	turnofscrewasper0000jame
/works/OL1518047W	clueofnewpinrevi0000wall
/works/OL731663W	fountainhead0000rand_g6x7
/works/OL4105632W	nostradamusmanwh00mcca
/works/OL510886W	unnaturalcauses00jame_0
/works/OL1210876W	plouffefamily0000leme
/works/OL1206639W	dewongrass0000lewi_c7s8
/works/OL1937680W	hornblowerhotspu0000fore_g2t4
/works/OL44922W	collectedshortst0000hard
/works/OL93840W	unevie0000maup_o3b1
/works/OL275946W	blackboyamerican0000wrig
/works/OL254062W	nybc204334
/works/OL603368W	sunstrokeselecte00buni
/works/OL1501556W	takenbyenemy00optiiala
/works/OL734336W	unknownguest00maet
/works/OL1253274W	asonpeoplearoma00orczgoog
/works/OL7133771W	auntdicestoryaf00robigoog
/works/OL647068W	relentlesscity00bensgoog
/works/OL504346W	ladeshumanizacio0000orte_v3e1
/works/OL52269W	tonobungay01wellgoog
/works/OL16735501W	brotheragainstbr00musi
/works/OL203471W	cu31924013633924
/works/OL2344324W	cu31924021992437
/works/OL74500W	cu31924021764547
/works/OL893933W	bestknownworksof00flau
/works/OL93838W	montoriolunserhe00maup
/works/OL15150936W	robedoug00doug
/works/OL1641975W	whohasseenwind00mitc
/works/OL15549635W	blackivory00bank
/works/OL1794680W	bysheerplucktale00hent
/works/OL15419362W	americangirlinlo00cote
/works/OL15703089W	scatterchipmunk00cobl
/works/OL15842008W	cavalcadetocalif00summ
/works/OL20162W	dayswokipl00kipl
/works/OL151056W	cigarsofpharaoh0000herg
/works/OL3480735W	mildredpierce0000cain_v5l5
/works/OL1948676W	fivegoofftocamp0000blyt_w9j0
/works/OL715553W	newgrubstreetnov02gissuoft
/works/OL17761452W	cihm_79369
/works/OL17006005W	adriftinnewyorko00alge
/works/OL1795303W	jackanapes00ewin_3
/works/OL17643948W	rolloofnormandyn00cobb
/works/OL17726265W	onfaceofwaters00stee_0
/works/OL17755522W	merchantofberlin00muhl
/works/OL1832592W	kidnappedtreasur00robe
/works/OL240591W	sowers00merr_0
/works/OL12151965W	mothermason00aldr
/works/OL20206855W	bornnurse00lock
/works/OL8645809W	gadsbystoryofove0000erne
/works/OL20433931W	halftruestoriesf00kirk
/works/OL4608089W	possession00dela_0
/works/OL468479W	talesofjazzage0000fitz_i4w0
/works/OL151411W	alicesadventures0000carr_a8d7
/works/OL134619W	september0000pilc_q6w0
/works/OL472324W	deathinclouds0000chri
/works/OL5203146W	thirteenguests0000farj
/works/OL471921W	leclubdumardicon0000chri_h8g8
/works/OL7966479W	whiskygalore0000unse_v0x0
/works/OL51427W	luotuoxiangzi0000unse_k6g2
/works/OL82922W	unvanquishedthec011677mbp
/works/OL2385305W	talesofsouthpaci0000mich_r7x8
/works/OL15673076W	drzewozycia0000dewo
/works/OL573150W	landstreicherrom0000hams
/works/OL3020852W	lhommeenor0000carr
/works/OL11675949W	hongloumeng0002unse_y2k0
/works/OL261828W	potterismtragifa0000unse_e5d4
/works/OL19739298W	uncoeuralabri0000robe
/works/OL1337113W	summermoonshine00wode
/works/OL1337018W	pgwodehousefivec00woderich
/works/OL14870139W	lifeofourlord0000dick_r8h0
/works/OL24034W	treasureisland0000stev_u7z4
/works/OL129267W	littleredlightho0000swif
/works/OL1209288W	nybc210266
/works/OL82923W	wildpalms0000will_h7d7
/works/OL2719022W	feathersfortoff00crea
/works/OL510021W	bwb_P8-CDL-628
/works/OL52262W	historyofmrpolly0000hgwe_x3k5
/works/OL262454W	houndofbaskervil0000doyl_b4n6
/works/OL23172W	ofmicemencannery18stei
/works/OL1794919W	pitstoryofchicag0000fran
/works/OL1528827W	fivelittlepepper0000marg_t6n8
/works/OL36531489W	sheblowssparmatt00hopk_0
/works/OL482894W	bwb_P4-BBE-609
/works/OL1948425W	secretseven0000blyt_b6t2
/works/OL262496W	studyinscarlet0000doyl_v0w7
/works/OL1249573W	memoirsofinfantr0000byau
/works/OL2345088W	loyalblueroyalsc00tagg
/works/OL879072W	endofchapter0000gals_n0u6
/works/OL10059W	shortstories0000gaut
/works/OL1113796W	hughwynnefreequa00mitc_0
/works/OL15049906W	thumbelina0000ande_i9o1
/works/OL471771W	bwb_KR-314-514
/works/OL88878W	bwb_KU-627-141
/works/OL48288W	bwb_P9-BNM-820
/works/OL16695W	bwb_W3-CQB-504
/works/OL1418248W	bwb_W9-CEX-856
/works/OL2341703W	innewworldoramon00alge
/works/OL98515W	reefanovel01whargoog
/works/OL1135983W	greatfrenchroman00aldi
/works/OL1579286W	heroofourtime0000lerm
/works/OL3335245W	bwb_Y0-DBW-516
/works/OL503529W	tragicsenseoflif00unam
/works/OL7536167W	tuffybeanlostfor00edwa
/works/OL5958054W	greatcommission01willgoog
/works/OL7557193W	sistersatan00diln
/works/OL3845941W	ironflood0000sera
/works/OL2779793W	ordealnovel00shut
/works/OL4924893W	modernmasterpie00conggoog
/works/OL181958W	sixesandsevens00henrgoog
/works/OL7734019W	cu31924022347821
/works/OL7305646W	diaryoffortynine00canf
/works/OL1455028W	mzlistoryofswi00spyriala
/works/OL1418211W	tarzangoldenlion00burr
/works/OL6672135W	developmentofeng0000ross
/works/OL5297517W	texanstoryofcatt00hend_0
/works/OL7785026W	joepete0000mccl
/works/OL5475784W	comealong00berg
/works/OL476811W	twopeoplenovel00miln
/works/OL5969181W	mistressjoyatal00mckigoog
/works/OL19603327W	wager00mcmagoog
/works/OL115004W	journalarthurst00compgoog
/works/OL15423W	saltedwithfirea00macdgoog
/works/OL7369306W	floramacalpinepi00maxw
/works/OL1528775W	makingovermarth00lippiala
/works/OL243181W	silvermaplestory00keituoft
/works/OL2032414W	fortheliberty00strarich
/works/OL1132288W	aspectsoffiction00mattrich
/works/OL532434W	fourcornersof00masoiala
/works/OL1103793W	jimdavis00maserich
/works/OL2340360W	tituscomradeofcr00kingiala
/works/OL24251W	herweightingoldi00mccuuoft
/works/OL2343641W	onlygoverness01careuoft
/works/OL29333W	thesecondgeneration00philrich
/works/OL7098435W	answerer00overrich
/works/OL14861161W	otherhouse01jamerich
/works/OL2343325W	littleshepherdof00foxjiala
/works/OL6608588W	horizonsbookofcr00hackuoft
/works/OL5257653W	somebodysneighbors00cookiala
/works/OL1105901W	lettersofjamesru01lowerich
/works/OL1113786W	autobiographyofq00mitcrich
/works/OL2022006W	peppersaltorseas00pyle
/works/OL1995143W	georginaofrainbo00johniala
/works/OL7008567W	tomsladewithcolo00fitz
/works/OL5959551W	thesilverhorde00beacrich
/works/OL7660231W	sealettermystery00winsiala
/works/OL6585778W	cordsofvanity00caberich
/works/OL507373W	madelonnovel00freeuoft
/works/OL1515172W	deepwaters00jacouoft
/works/OL146895W	cynthiadaughtero00merriala
/works/OL5959552W	spoilers00beacuoft
/works/OL2986878W	themajorconnor00conniala
/works/OL42381W	songofcardinal00straiala
/works/OL861187W	goldenageintrans00joka
/works/OL1130411W	arizonanights00whitrich
/works/OL236823W	beautifulbirdwit00peteiala
/works/OL7559487W	windowgazer00mackuoft
/works/OL1917146W	thelandoflittler00austrich
/works/OL55422W	lettersofantontc00chekuoft
/works/OL141886W	bettyalden00austrich
/works/OL472710W	floatingadmiral00agat
/works/OL240563W	bwb_W9-COP-470
