work_id	oclc	htid	recordid	locnum	author	imprint	date	place	enumcron	subjects	title	prob80precise	genrepages	totalpages	englishpct	datetype	startdate	enddate	imprintdate
OL278145W	2522081	uc1.32106006424078	966012	PZ3.C3985L	Chekhov, Anton Pavlovich,	New York;The Macmillan company;1917.	1917	nyu			The lady with the dog, and other stories	0.84	623	654	1.0	s	1917.0	    	1917
OL278145W	2522081	uc2.ark+=13960=t3rv0k37t	966012	PZ3.C3985L	Chekhov, Anton Pavlovich,	New York;The Macmillan company;1917.	1917	nyu			The lady with the dog, and other stories	0.83	295	316	1.0	s	1917.0	    	1917
OL278146W	10655744	uc1.32106001600045	7126114		Chekhov, Anton Pavlovich,	New York;Willey Book company;1917.	1917	   		tr;Garnett, Constance Black;1862-1946	The party, and other stories	0.83	338	362	1.0	s	1917.0	    	1917
OL278146W	10655744	uc2.ark+=13960=t02z19b52	7126114		Chekhov, Anton Pavlovich,	New York;Willey Book company;1917.	1917	   		tr;Garnett, Constance Black;1862-1946	The party, and other stories	0.84	338	358	1.0	s	1917.0	    	1917
OL278146W	4701365	uc2.ark+=13960=t8z89ck4z	7706717		Chekhov, Anton Pavlovich,	London;Chatto & Windus;1919.	1919	enk			The party and other stories	0.82	296	326	1.0	s	1919.0	    	1919
OL278146W	598121	mdp.39015003533059	966013	PZ3.C3985P	Chekhov, Anton Pavlovich,	New York;the Macmillan company;1917.	1917	nyu			The party, and other stories	0.85	338	347	1.0	s	1917.0	    	1917
OL278146W	598121	uc1.b4084451	966013	PZ3.C3985P	Chekhov, Anton Pavlovich,	New York;the Macmillan company;1917.	1917	nyu	(copy 1)		The party, and other stories	0.82	338	372	1.0	s	1917.0	    	1917
OL278147W	2062807	uc1.b4084528	6148672	PG3456.A15G284 1918	Chekhov, Anton Pavlovich,	New York;The Macmillan Company;1918.	1918	nyu			The wife, and other stories	0.85	266	324	1.0	s	1918.0	    	1918
OL27834207W	1152772	loc.ark+=13960=t1mg86h4n	1194895	PZ3.W5196Re	West, Rebecca,	New York;The Century co.;1918.	1918	nyu			The return of the soldier	0.82	189	206	0.997	s	1918.0	    	1918
OL27834207W	1152772	mdp.39015008628714	1194895	PZ3.W5196Re	West, Rebecca,	New York;The Century co.;1918.	1918	nyu			The return of the soldier	0.82	191	212	1.0	s	1918.0	    	1918
OL27834207W	3013259	mdp.39015008846985	1775952		West, Rebecca,	Garden City, N.Y.;Garden City publishing company, inc.;c1918	1918	nyu			The return of the soldier	0.82	183	200	1.0	s	1918.0	    	1918
